internal_sku,effective_from,effective_to,product_cogs_rub,resolver_lane
EVT-EP-ENZYME-75,2026-01-09,,159,MATERIALIZED
EVT-FC-ACNE-50,2025-09-16,,145,MATERIALIZED
EVT-FC-MOIST-50,2025-09-14,,145,MATERIALIZED
EVT-FS-ACNE-30,2025-03-05,2026-07-31,165,MATERIALIZED
EVT-FS-ACNE-30,2026-08-01,,138,MATERIALIZED
EVT-FS-MOIST-30,2026-03-01,,133,MATERIALIZED
EVT-FT-ACNE-150,2026-01-10,,182,MATERIALIZED
EVT-FT-MOIST-150,2026-01-08,,182,MATERIALIZED
EVT-HC-AMBER-300,2026-04-10,,172,MATERIALIZED
EVT-HC-CHERRY-300,2026-04-10,,172,MATERIALIZED
EVT-HC-HAND-300,2025-03-10,,240,MATERIALIZED
EVT-SET-4PC-ACNE,2026-03-24,2026-07-31,651,DERIVED_BUNDLE
EVT-SET-4PC-ACNE,2026-08-01,,624,DERIVED_BUNDLE
EVT-SET-ACNE-POWDER-SERUM-CREAM,2026-01-15,2026-07-31,469,DERIVED_BUNDLE
EVT-SET-ACNE-POWDER-SERUM-CREAM,2026-08-01,,442,DERIVED_BUNDLE
EVT-SET-ACNE-TONIC-SERUM,2026-07-09,2026-07-31,347,DERIVED_BUNDLE
EVT-SET-ACNE-TONIC-SERUM,2026-08-01,,320,DERIVED_BUNDLE
EVT-SET-CHERRY-AMBER,2026-04-10,,344,DERIVED_BUNDLE
EVT-SET-HAND-AMBER,2026-04-26,,412,DERIVED_BUNDLE
EVT-SET-HAND-CHERRY,2026-05-01,,412,DERIVED_BUNDLE
EVT-SET-MOIST-TONIC-SERUM,2026-07-20,,315,DERIVED_BUNDLE
EVT-SET-SER-CREAM-ACNE,2025-11-01,2026-07-31,310,DERIVED_BUNDLE
EVT-SET-SER-CREAM-ACNE,2026-08-01,,283,DERIVED_BUNDLE
EVT-SET-SER-CREAM-MOIST,2026-03-01,,278,DERIVED_BUNDLE
EVT-SET-TON-SER-CREAM-ACNE,2026-04-23,2026-07-31,492,DERIVED_BUNDLE
EVT-SET-TON-SER-CREAM-ACNE,2026-08-01,,465,DERIVED_BUNDLE
