posting_number,ozon_sku,offer_id,internal_sku,order_created_at_msk,posting_created_at_msk,shipment_date_msk,delivered_at_msk,finance_event_date,seller_price,commission_rub,commission_ratio,inferred_tariff_cohort,evidence
0199424196-0196-1,3892223191,930334397,EVT-SET-CHERRY-AMBER,,,,NOT_AVAILABLE,2026-06-01,1161,-476.01,0.41,TARIFF_41,posting NOT in backfill window
78061473-0524-1,3530427102,535581675,EVT-FT-ACNE-150,,,,NOT_AVAILABLE,2026-06-01,730,-299.3,0.41,TARIFF_41,posting NOT in backfill window
0160098811-0919-1,1997079254,252442517,EVT-HC-HAND-300,,,,NOT_AVAILABLE,2026-06-02,480,-196.8,0.41,TARIFF_41,posting NOT in backfill window
84371292-0157-1,1997079254,252442517,EVT-HC-HAND-300,,,,NOT_AVAILABLE,2026-06-03,480,-196.8,0.41,TARIFF_41,posting NOT in backfill window
83443714-0364-1,1997079254,252442517,EVT-HC-HAND-300,,,,NOT_AVAILABLE,2026-06-04,530,-217.3,0.41,TARIFF_41,posting NOT in backfill window
0243789888-0130-1,3528293526,535581674,EVT-FT-MOIST-150,,,,NOT_AVAILABLE,2026-06-04,730,-299.3,0.41,TARIFF_41,posting NOT in backfill window
22738323-0485-5,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,,,,NOT_AVAILABLE,2026-06-04,1612,-660.92,0.41,TARIFF_41,posting NOT in backfill window
63083916-0687-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-03T17:44:55.635271+03:00,2026-06-03T17:44:55.635271+03:00,2026-06-03T17:45:12.036576+03:00,NOT_AVAILABLE,2026-06-05,530,-217.3,0.41,TARIFF_41,posting matched
80441196-1037-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-03T12:53:28.918319+03:00,2026-06-03T12:53:28.918319+03:00,2026-06-03T12:53:36.611925+03:00,NOT_AVAILABLE,2026-06-06,530,-217.3,0.41,TARIFF_41,posting matched
0105883992-0211-1,3530427102,535581675,EVT-FT-ACNE-150,2026-06-04T09:36:58.432432+03:00,2026-06-04T09:36:58.432432+03:00,2026-06-04T09:37:10.495905+03:00,NOT_AVAILABLE,2026-06-06,730,-299.3,0.41,TARIFF_41,posting matched
0248200533-0001-1,3530427102,535581675,EVT-FT-ACNE-150,,,,NOT_AVAILABLE,2026-06-06,730,-299.3,0.41,TARIFF_41,posting NOT in backfill window
0122514050-0256-1,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,2026-06-05T15:04:18.445375+03:00,2026-06-05T15:04:18.445375+03:00,2026-06-05T15:05:49.259241+03:00,NOT_AVAILABLE,2026-06-06,1120,-459.2,0.41,TARIFF_41,posting matched
0113819485-0127-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-05T11:15:56.250976+03:00,2026-06-05T11:15:56.250976+03:00,2026-06-05T11:16:03.309977+03:00,NOT_AVAILABLE,2026-06-08,556,-227.96,0.41,TARIFF_41,posting matched
02132772-0139-7,3530427102,535581675,EVT-FT-ACNE-150,2026-06-05T12:28:02.953191+03:00,2026-06-05T12:28:02.953191+03:00,2026-06-05T12:28:47.191560+03:00,NOT_AVAILABLE,2026-06-08,837,-343.17,0.41,TARIFF_41,posting matched
24170025-0422-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-02T19:45:04.699498+03:00,2026-06-02T19:45:04.699498+03:00,2026-06-02T19:45:17.642770+03:00,NOT_AVAILABLE,2026-06-08,530,-217.3,0.41,TARIFF_41,posting matched
73422757-0007-9,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,,,,NOT_AVAILABLE,2026-06-09,1550,-635.5,0.41,TARIFF_41,posting NOT in backfill window
38015375-0119-3,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,2026-06-07T07:30:32.789369+03:00,2026-06-07T07:30:32.789369+03:00,2026-06-07T07:30:30.302112+03:00,NOT_AVAILABLE,2026-06-09,1630,-668.3,0.41,TARIFF_41,posting matched
38015375-0119-1,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,2026-06-07T07:30:01.347134+03:00,2026-06-07T07:30:01.347134+03:00,2026-06-07T07:30:30.302112+03:00,NOT_AVAILABLE,2026-06-09,1630,-668.3,0.41,TARIFF_41,posting matched
29029680-2589-1,3530427102,535581675,EVT-FT-ACNE-150,2026-06-07T07:58:44.729299+03:00,2026-06-07T07:58:44.729299+03:00,2026-06-07T08:00:25.480724+03:00,NOT_AVAILABLE,2026-06-09,837,-343.17,0.41,TARIFF_41,posting matched
0141357579-0128-1,3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,2026-06-08T21:21:03.108646+03:00,2026-06-08T21:21:03.108646+03:00,2026-06-08T21:21:18.844098+03:00,NOT_AVAILABLE,2026-06-10,1680,-688.8,0.41,TARIFF_41,posting matched
30264772-0295-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-08T16:53:51.682332+03:00,2026-06-08T16:53:51.682332+03:00,2026-06-08T16:54:07.892554+03:00,NOT_AVAILABLE,2026-06-10,556,-227.96,0.41,TARIFF_41,posting matched
44126155-0052-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-08T16:28:46.986076+03:00,2026-06-08T16:28:46.986076+03:00,2026-06-08T16:28:55.568657+03:00,NOT_AVAILABLE,2026-06-11,556,-227.96,0.41,TARIFF_41,posting matched
0186007139-0216-1,3530427102,535581675,EVT-FT-ACNE-150,2026-06-08T19:13:51.863416+03:00,2026-06-08T19:13:51.863416+03:00,2026-06-08T19:14:00.629051+03:00,NOT_AVAILABLE,2026-06-11,837,-343.17,0.41,TARIFF_41,posting matched
0246026298-0009-1,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,2026-06-09T12:16:05.005542+03:00,2026-06-09T12:16:05.005542+03:00,2026-06-09T12:16:43.745531+03:00,NOT_AVAILABLE,2026-06-12,1630,-668.3,0.41,TARIFF_41,posting matched
78598856-0564-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-07T23:01:58.959963+03:00,2026-06-07T23:01:58.959963+03:00,2026-06-07T23:02:31.832823+03:00,NOT_AVAILABLE,2026-06-12,529,-216.89,0.41,TARIFF_41,posting matched
0209664376-0120-1,3530427102,535581675,EVT-FT-ACNE-150,2026-06-11T15:19:16.767509+03:00,2026-06-11T15:19:16.767509+03:00,2026-06-11T15:19:28.512426+03:00,NOT_AVAILABLE,2026-06-15,859,-352.19,0.41,TARIFF_41,posting matched
44126155-0059-1,3892345516,930334395,EVT-SET-HAND-CHERRY,2026-06-11T15:52:27.810094+03:00,2026-06-11T15:52:27.810094+03:00,2026-06-11T15:52:37.533559+03:00,NOT_AVAILABLE,2026-06-15,1200,-492,0.41,TARIFF_41,posting matched
0132332862-1286-1,3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,2026-06-12T21:09:26.472366+03:00,2026-06-12T21:09:26.472366+03:00,2026-06-12T21:10:02.837058+03:00,NOT_AVAILABLE,2026-06-15,1800,-738,0.41,TARIFF_41,posting matched
72942666-1001-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-08T16:57:47.324780+03:00,2026-06-08T16:57:47.324780+03:00,2026-06-08T16:57:53.957103+03:00,NOT_AVAILABLE,2026-06-15,556,-227.96,0.41,TARIFF_41,posting matched
33084752-0121-1,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,2026-06-15T21:04:34.316079+03:00,2026-06-15T21:04:34.316079+03:00,2026-06-15T21:04:46.502004+03:00,NOT_AVAILABLE,2026-06-16,1651,-676.91,0.41,TARIFF_41,posting matched
07701255-0521-3,3892518031,593111986,EVT-HC-CHERRY-300,2026-06-13T17:29:26.675883+03:00,2026-06-13T17:29:26.675883+03:00,2026-06-13T17:29:35.263433+03:00,NOT_AVAILABLE,2026-06-16,1050,-430.5,0.41,TARIFF_41,posting matched
0179415481-0005-1,3733452761,868597351,EVT-SET-4PC-ACNE,2026-06-11T23:29:24.738088+03:00,2026-06-11T23:29:24.738088+03:00,2026-06-11T23:29:35.099890+03:00,NOT_AVAILABLE,2026-06-16,2430,-996.3,0.41,TARIFF_41,posting matched
0187365339-0020-1,3733452761,868597351,EVT-SET-4PC-ACNE,2026-06-13T23:49:03.434073+03:00,2026-06-13T23:49:03.434073+03:00,2026-06-13T23:49:11.168352+03:00,NOT_AVAILABLE,2026-06-17,3221,-1320.61,0.41,TARIFF_41,posting matched
74198206-0083-1,1997079254,252442517,EVT-HC-HAND-300,2026-06-02T17:43:23.144739+03:00,2026-06-02T17:43:23.144739+03:00,2026-06-02T17:43:32.832808+03:00,NOT_AVAILABLE,2026-06-17,530,-217.3,0.41,TARIFF_41,posting matched
0176014466-0010-3,3733452761,868597351,EVT-SET-4PC-ACNE,2026-06-14T15:00:19.416894+03:00,2026-06-14T15:00:19.416894+03:00,2026-06-14T15:01:04.798399+03:00,NOT_AVAILABLE,2026-06-18,3221,-1320.61,0.41,TARIFF_41,posting matched
0209664376-0123-1,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,2026-06-15T14:18:43.125239+03:00,2026-06-15T14:18:43.125239+03:00,2026-06-15T14:18:55.778472+03:00,NOT_AVAILABLE,2026-06-19,1377,-564.57,0.41,TARIFF_41,posting matched
50464486-0153-1,3892345516,930334395,EVT-SET-HAND-CHERRY,2026-06-12T22:09:29.134714+03:00,2026-06-12T22:09:29.134714+03:00,2026-06-12T22:09:35.593868+03:00,NOT_AVAILABLE,2026-06-20,1200,-492,0.41,TARIFF_41,posting matched
49066688-0408-2,3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,2026-06-20T10:52:03.230997+03:00,2026-06-20T10:52:03.230997+03:00,2026-06-20T10:52:58.463414+03:00,NOT_AVAILABLE,2026-06-22,2139,-876.99,0.41,TARIFF_41,posting matched
