date,performance_cpc,finance_type41,difference_rub,difference_pct,performance_search_promo,finance_type54,difference_promo_rub,status
2026-06-01,168.52,168.52,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-02,197.74,197.74,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-03,157.12,157.12,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-04,139.89,139.89,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-05,185.97,185.97,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-06,373.96,373.96,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-07,448.71,448.71,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-08,306.55,306.55,0.0,0.0,168.0,168.0,0.0,EXACT_MATCH
2026-06-09,349.32,349.32,0.0,0.0,163.0,163.0,0.0,EXACT_MATCH
2026-06-10,449.32,449.32,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-11,410.53,410.53,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-12,480.39,480.39,0.0,0.0,360.0,360.0,0.0,EXACT_MATCH
2026-06-13,528.57,528.57,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-14,384.03,384.03,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-15,295.36,295.36,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-16,231.57,231.57,0.0,0.0,105.0,105.0,0.0,EXACT_MATCH
2026-06-17,328.53,328.53,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-18,290.52,290.52,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-19,248.97,248.97,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-20,250.85,250.85,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-21,300.0,300.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-22,419.33,419.33,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-23,247.68,247.68,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-24,595.74,595.74,0.0,0.0,243.0,243.0,0.0,EXACT_MATCH
2026-06-25,512.0,512.0,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-26,237.61,237.61,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-27,475.67,475.67,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-28,441.26,441.26,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-29,502.94,502.94,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-06-30,698.01,698.01,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-07-01,620.02,620.02,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-07-02,1161.52,1161.52,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-07-03,1300.41,1300.41,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-07-04,1562.55,1562.55,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
2026-07-05,3293.49,3293.49,0.0,0.0,0.0,0.0,0.0,EXACT_MATCH
