finance_event_date,posting_number,ozon_sku,internal_sku,buyer_paid_price_rub,seller_base_price_rub,ozon_bonus_rub,ozon_coinvestment_rub,observed_buyer_discount_rub,observed_buyer_discount_pct,invariant_check_rub,spp_semantics
2026-06-01,0199424196-0196-1,3892223191,EVT-SET-CHERRY-AMBER,829.0,1161.0,332.0,0.0,332.0,28.6,0.0,NOT_PROVEN
2026-06-01,78061473-0524-1,3530427102,EVT-FT-ACNE-150,341.9,730.0,384.68,3.42,388.1,53.16,0.0,NOT_PROVEN
2026-06-02,0160098811-0919-1,1997079254,EVT-HC-HAND-300,259.05,480.0,218.36,2.59,220.95,46.03,0.0,NOT_PROVEN
2026-06-03,84371292-0157-1,1997079254,EVT-HC-HAND-300,256.9,480.0,223.1,0.0,223.1,46.48,0.0,NOT_PROVEN
2026-06-04,83443714-0364-1,1997079254,EVT-HC-HAND-300,229.52,530.0,298.18,2.3,300.48,56.69,0.0,NOT_PROVEN
2026-06-04,0243789888-0130-1,3528293526,EVT-FT-MOIST-150,302.86,730.0,424.11,3.03,427.14,58.51,0.0,NOT_PROVEN
2026-06-04,22738323-0485-5,3735674506,EVT-SET-TON-SER-CREAM-ACNE,845.71,1612.0,757.83,8.46,766.29,47.54,0.0,NOT_PROVEN
2026-06-05,63083916-0687-1,1997079254,EVT-HC-HAND-300,232.38,530.0,295.3,2.32,297.62,56.15,-0.0,NOT_PROVEN
2026-06-06,80441196-1037-1,1997079254,EVT-HC-HAND-300,265.46,530.0,261.89,2.65,264.54,49.91,0.0,NOT_PROVEN
2026-06-06,0105883992-0211-1,3530427102,EVT-FT-ACNE-150,336.79,730.0,389.84,3.37,393.21,53.86,0.0,NOT_PROVEN
2026-06-06,0248200533-0001-1,3530427102,EVT-FT-ACNE-150,374.29,730.0,355.71,0.0,355.71,48.73,0.0,NOT_PROVEN
2026-06-06,0122514050-0256-1,3732641694,EVT-SET-SER-CREAM-ACNE,564.76,1120.0,549.59,5.65,555.24,49.58,0.0,NOT_PROVEN
