metric,actual_source,forward_source,grain,effective_date_semantics,nullable_semantics,notes
seller_base_price,accrual/by-day commission.seller_price по факту сделки,/v5/product/info/prices price.price (текущая цена продавца),дата × sku × отправление,ACTUAL: момент начисления. FORWARD: снимок на момент расчёта,"нет продаж -> строки нет, не ноль","Разные величины: actual это то, что реально зафиксировано, forward это то, что стоит сейчас"
buyer_paid_price,accrual/by-day commission.sale_price,публичная карточка ozon.ru webPrice,дата × sku × отправление,"ACTUAL: момент сделки. FORWARD: момент съёма, зависит от региона",вне сделки NOT_AVAILABLE,"FORWARD-источник зависит от региона и сессии, см. D007"
commission_ratio,"accrual/by-day commission.commission_ratio, фактическая",/v5/product/info/prices commissions.sales_percent_fbo,дата × sku,"ACTUAL: определяется датой создания заказа, положительно НЕ доказано (D027). FORWARD: действующий тариф",нет операции -> NOT_APPLICABLE,"ЗАПРЕТ: не применять 52% задним числом к периоду, где фактические операции прошли по 0,41. И не применять 0,41 к новому заказу, если действующий тариф уже иной"
commission_rub,accrual/by-day commission.commission,seller_base × действующий sales_percent,дата × sku × отправление,как commission_ratio,нет операции -> строки нет,"FORWARD это оценка, ACTUAL это удержание"
logistics,"accrual/by-day, типы 32, 29, 98, 59, 12",/v5/product/info/prices commissions.fbo_* (вилка min/max),дата × sku × отправление,ACTUAL: дата начисления. FORWARD: действующий тариф,нет начисления -> ноль допустим только внутри сделки,"FORWARD даёт диапазон fbo_direct_flow_trans_min/max, а не одно число"
cogs,evetis_ref.V_PRODUCT_COGS_EFFECTIVE на дату операции,evetis_ref.V_PRODUCT_COGS_EFFECTIVE на дату расчёта,internal_sku × дата,ACTUAL: effective_from/to по дате события. FORWARD: текущий интервал,"нет действующего интервала -> COGS_MISSING, расчёт прибыли останавливается",ЗАПРЕТ forward-fill. В периоде 6 из 20 SKU меняли COGS 2026-08-01
cpc_spend,"accrual/by-day тип 41, сверено с Performance API 0,00 руб на 90 днях",текущие ставки bid и targetCir из campaign/v2/products,дата × campaign_id,ACTUAL: дата начисления. FORWARD: прогноз на основе ставки и конверсии,"нет расхода -> ноль, это доказанный ноль",SKU-уровень доказуем только для кампаний с одним SKU
search_promo_spend,"accrual/by-day тип 54, unit_number = campaign_id",ставка CPO в процентах от цены товара,дата × campaign_id,ACTUAL: дата начисления,нет заказа -> ноль,Списывается только в дни с заказом
first_review_promo_spend,"accrual/by-day тип 116, уровень SKU","NOT_APPLICABLE, если программа для SKU завершена",дата × sku,ACTUAL: дата начисления,"программа не подключена -> NOT_APPLICABLE, не ноль",КРИТИЧНО: не включать в forward DRR автоматически. На 2026-08-31 REVIEWS_PROMO is_enabled=false у всех 20 SKU
ref_product_cogs,NOT_PROVEN,NOT_PROVEN,—,—,"NULL, никогда не ноль","Нерешённая внешняя компонента, не блокер ingestion"
observed_buyer_discount,(seller_base - buyer_paid)/seller_base по сделке,(цена продавца - полка)/цена продавца на момент съёма,дата × sku × отправление,ACTUAL: момент сделки. FORWARD: момент съёма,вне сделки NOT_AVAILABLE,НЕ называть СПП: термин отсутствует в спецификации Ozon (D026)
profit_before_marketing,"выручка - комиссия - логистика - прочие - COGS, всё фактическое",та же формула на действующих тарифах и текущей цене,дата × internal_sku,ACTUAL по датам событий,COGS_MISSING -> расчёт не производится,Потолок ДРР = margin_before_marketing_pct
drr_cpc_pct,"cpc_spend / выручка, фактические",прогнозный расход / прогнозная выручка,дата × internal_sku,ACTUAL,нет выручки -> NOT_APPLICABLE,Не смешивать с drr_total_marketing_pct
drr_total_marketing_pct,total_marketing_cost_confirmed / выручка,"только компоненты, действующие вперёд",дата × internal_sku,ACTUAL,NOT_PROVEN компоненты не входят и не обнуляются,"ACTUAL 27,8% за период. FORWARD будет НИЖЕ, если REVIEWS_PROMO завершена"
