event_date,operation_id,type_id,operation_name,accrued_category,unit_number,unit_number_meaning,posting_number,ozon_sku,offer_id,internal_sku,quantity,seller_price,amount,currency,source_endpoint,source_raw_file
2026-06-01,52702500595,76,Страхование товара от массовых повреждений,NON_ITEM,,order_or_item_ref,,,,,NOT_AVAILABLE,NOT_AVAILABLE,-11.24,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52737967944,32,Логистика,POSTING,0199424196-0196-1,posting_number,0199424196-0196-1,3892223191,930334397,EVT-SET-CHERRY-AMBER,NOT_AVAILABLE,NOT_AVAILABLE,-88.0,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52737967944,98,Доставка до места выдачи силами Ozon,POSTING,0199424196-0196-1,posting_number,0199424196-0196-1,3892223191,930334397,EVT-SET-CHERRY-AMBER,NOT_AVAILABLE,NOT_AVAILABLE,-25.0,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52738893179,32,Логистика,POSTING,0223481492-0125-1,posting_number,0223481492-0125-1,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,NOT_AVAILABLE,NOT_AVAILABLE,-74.0,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52738893180,59,Обратная логистика,POSTING,0223481492-0125-1,posting_number,0223481492-0125-1,3732641694,567668635,EVT-SET-SER-CREAM-ACNE,NOT_AVAILABLE,NOT_AVAILABLE,-70.0,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52766645199,32,Логистика,POSTING,78061473-0524-1,posting_number,78061473-0524-1,3530427102,535581675,EVT-FT-ACNE-150,NOT_AVAILABLE,NOT_AVAILABLE,-66.0,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52766645199,29,Доставка до места выдачи,POSTING,78061473-0524-1,posting_number,78061473-0524-1,3530427102,535581675,EVT-FT-ACNE-150,NOT_AVAILABLE,NOT_AVAILABLE,-7.98,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52768044110,1,Эквайринг,ITEM,78061473-0524-1,order_or_item_ref,,3530427102,535581675,EVT-FT-ACNE-150,NOT_AVAILABLE,NOT_AVAILABLE,-6.5,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52788574264,41,Оплата за клик,NON_ITEM,27443733,campaign_id,,,,,NOT_AVAILABLE,NOT_AVAILABLE,-64.31,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
2026-06-01,52788611803,41,Оплата за клик,NON_ITEM,27307598,campaign_id,,,,,NOT_AVAILABLE,NOT_AVAILABLE,-16.41,RUB,/v1/finance/accrual/by-day,raw/backfill_v1/finance/accrual_by_day_20260601.json
