date,ozon_sku,internal_sku,events,cost_rub,revenue_same_period,cost_pct_of_revenue
2026-07-27,3892518031,EVT-HC-CHERRY-300,1,512.4,0.0,NOT_APPLICABLE
2026-08-03,3892223191,EVT-SET-CHERRY-AMBER,1,927.2,0.0,NOT_APPLICABLE
2026-08-03,3892518031,EVT-HC-CHERRY-300,1,514.84,0.0,NOT_APPLICABLE
2026-08-08,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1,1331.02,2100.0,63.38
2026-08-08,3930712640,EVT-HC-AMBER-300,1,375.76,1803.0,20.84
2026-08-09,3930712640,EVT-HC-AMBER-300,1,402.6,0.0,NOT_APPLICABLE
2026-08-10,3930712640,EVT-HC-AMBER-300,1,433.1,905.0,47.86
2026-08-15,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1,1398.12,1950.0,71.7
2026-08-15,3892518031,EVT-HC-CHERRY-300,1,498.98,1001.0,49.85
2026-08-19,3735674506,EVT-SET-TON-SER-CREAM-ACNE,1,1651.88,1950.0,84.71
2026-08-22,3892223191,EVT-SET-CHERRY-AMBER,1,922.32,0.0,NOT_APPLICABLE
2026-08-31,3892223191,EVT-SET-CHERRY-AMBER,1,894.26,0.0,NOT_APPLICABLE
