bundle_internal_sku,ozon_sku,components,theoretical_max,bottleneck_component,bottleneck_available,aug_units,sep_forecast_owner,recommended_assembly,fbo_qty,fbs_qty,confidence,note
EVT-SET-TON-SER-CREAM-ACNE,3735674506,FC-ACNE-50+FS-ACNE-30+FT-ACNE-150,1041,EVT-FC-ACNE-50,1041,10,25,50,30,20,HIGH,
EVT-SET-4PC-ACNE,3733452761,EP-ENZYME-75+FC-ACNE-50+FS-ACNE-30+FT-ACNE-150,1041,EVT-FC-ACNE-50,1041,9,23,46,28,18,MEDIUM,
EVT-SET-MOIST-TONIC-SERUM,3735183318,FS-MOIST-30+FT-MOIST-150,3665,EVT-FT-MOIST-150,3665,7,18,36,22,14,MEDIUM,
EVT-SET-HAND-CHERRY,3892345516,HC-CHERRY-300+HC-HAND-300,2622,EVT-HC-HAND-300,2622,6,15,30,18,12,MEDIUM,
EVT-SET-CHERRY-AMBER,3892223191,HC-AMBER-300+HC-CHERRY-300,4396,EVT-HC-CHERRY-300,4396,4,10,20,12,8,LOW,
EVT-SET-SER-CREAM-ACNE,3732641694,FC-ACNE-50+FS-ACNE-30,1041,EVT-FC-ACNE-50,1041,4,10,20,12,8,LOW,
EVT-SET-HAND-AMBER,3892410843,HC-AMBER-300+HC-HAND-300,2622,EVT-HC-HAND-300,2622,3,8,16,10,6,LOW,
EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,EP-ENZYME-75+FC-ACNE-50+FS-ACNE-30,1041,EVT-FC-ACNE-50,1041,1,3,10,6,4,LOW,
EVT-SET-ACNE-TONIC-SERUM,4843362212,FS-ACNE-30+FT-ACNE-150,3630,EVT-FT-ACNE-150,3630,1,3,10,6,4,LOW,
EVT-SET-SER-CREAM-MOIST,3732933477,FC-MOIST-50+FS-MOIST-30,2,EVT-FC-MOIST-50,2,0,0,2,1,1,LOW,КРИТИЧЕСКОЕ ОГРАНИЧЕНИЕ: EVT-FC-MOIST-50 всего 2 ед
