cluster,first_supply_ever,first_sale_in_window,availability_start_in_window,days_available_in_window,sales_in_window,units_per_available_day,live_stock_20260903,days_of_cover,class,evidence
"Москва, МО и Дальние регионы",2025-04-19,2026-06-02,2026-06-02,94,74,0.787,14,17.8,A_PROVEN_HIGH,74 шт за 94 дн наличия
Ростов,2025-12-01,2026-06-05,2026-06-05,91,58,0.637,0,0.0,A_PROVEN_HIGH,58 шт за 91 дн наличия
Пермь,NOT_AVAILABLE,2026-08-02,2026-08-02,33,20,0.606,11,18.2,B_PROVEN_MEDIUM,20 шт за 33 дн
Уфа,2025-07-21,2026-08-01,2026-08-01,34,18,0.529,16,30.2,B_PROVEN_MEDIUM,18 шт за 34 дн
Казань,2025-10-19,2026-06-11,2026-06-11,85,35,0.412,40,97.1,B_PROVEN_MEDIUM,35 шт за 85 дн
Санкт-Петербург и СЗО,2025-04-29,2026-06-03,2026-06-03,93,37,0.398,49,123.1,B_PROVEN_MEDIUM,37 шт за 93 дн
Самара,2025-07-21,2026-06-05,2026-06-05,91,20,0.22,0,0.0,B_PROVEN_MEDIUM,20 шт за 91 дн
Красноярск,NOT_AVAILABLE,2026-07-15,2026-07-15,51,9,0.176,27,153.4,C_NEW,"доступен всего 51 дн в окне — DEMAND_NOT_OBSERVED, не ZERO_DEMAND"
Екатеринбург,2025-07-22,2026-06-11,2026-06-11,85,13,0.153,4,26.1,B_PROVEN_MEDIUM,13 шт за 85 дн
Краснодар,2025-05-10,2026-06-11,2026-06-11,85,11,0.129,5,38.8,D_LOW_DEMAND_SUFFICIENT_HISTORY,11 шт за 85 дн — истории достаточно
Ярославль,2026-04-15,2026-06-20,2026-06-20,76,8,0.105,8,76.2,D_LOW_DEMAND_SUFFICIENT_HISTORY,8 шт за 76 дн — истории достаточно
Невинномысск,2025-10-19,2026-08-19,2026-08-19,16,1,0.062,0,0.0,C_NEW,"доступен всего 16 дн в окне — DEMAND_NOT_OBSERVED, не ZERO_DEMAND"
Саратов,2026-03-26,2026-06-12,2026-06-12,84,5,0.06,3,50.0,D_LOW_DEMAND_SUFFICIENT_HISTORY,5 шт за 84 дн — истории достаточно
Воронеж,2025-12-01,2026-06-08,2026-06-08,88,5,0.057,0,0.0,D_LOW_DEMAND_SUFFICIENT_HISTORY,5 шт за 88 дн — истории достаточно
Тюмень,2025-07-24,2026-08-04,2026-08-04,31,1,0.032,0,0.0,C_NEW,"доступен всего 31 дн в окне — DEMAND_NOT_OBSERVED, не ZERO_DEMAND"
Тверь,NOT_AVAILABLE,2026-06-30,2026-06-30,66,2,0.03,0,0.0,D_LOW_DEMAND_SUFFICIENT_HISTORY,2 шт за 66 дн — истории достаточно
Омск,2025-10-28,2026-06-08,2026-06-08,88,2,0.023,0,0.0,D_LOW_DEMAND_SUFFICIENT_HISTORY,2 шт за 88 дн — истории достаточно
Дальний Восток,2025-07-26,NOT_OBSERVED,2026-06-02,94,0,0.0,1,,D_LOW_DEMAND_SUFFICIENT_HISTORY,0 шт за 94 дн — истории достаточно
Новосибирск,2025-05-10,NOT_OBSERVED,2026-06-02,94,0,0.0,0,,D_LOW_DEMAND_SUFFICIENT_HISTORY,0 шт за 94 дн — истории достаточно
Оренбург,NOT_AVAILABLE,NOT_OBSERVED,2026-06-02,94,0,0.0,2,,D_LOW_DEMAND_SUFFICIENT_HISTORY,0 шт за 94 дн — истории достаточно
