plan,cluster,cluster_class,allocation_type,current_fbo_stock,units_per_available_day,sep_demand_estimate,target_days_of_cover,target_stock,ship_qty,priority,confidence,reason
PLAN_A,"Москва, МО и Дальние регионы",A_PROVEN_HIGH,DEMAND,14,0.787,33.0,30,33,19,P2,HIGH,скорость 0.787/дн × рост ×1.4 × 30 дн
PLAN_A,Ростов,A_PROVEN_HIGH,DEMAND,0,0.637,26.7,30,27,27,P0,HIGH,скорость 0.637/дн × рост ×1.4 × 30 дн
PLAN_A,Пермь,B_PROVEN_MEDIUM,DEMAND,11,0.606,25.4,30,25,14,P2,LOW,скорость 0.606/дн × рост ×1.4 × 30 дн
PLAN_A,Уфа,B_PROVEN_MEDIUM,DEMAND,16,0.529,22.2,30,22,6,P2,LOW,скорость 0.529/дн × рост ×1.4 × 30 дн
PLAN_A,Казань,B_PROVEN_MEDIUM,DEMAND,40,0.412,17.3,30,17,0,P2,MEDIUM,скорость 0.412/дн × рост ×1.4 × 30 дн
PLAN_A,Санкт-Петербург и СЗО,B_PROVEN_MEDIUM,DEMAND,49,0.398,16.7,30,17,0,P2,MEDIUM,скорость 0.398/дн × рост ×1.4 × 30 дн
PLAN_A,Самара,B_PROVEN_MEDIUM,DEMAND,0,0.22,9.2,30,9,9,P0,MEDIUM,скорость 0.22/дн × рост ×1.4 × 30 дн
PLAN_A,Красноярск,C_NEW,COVERAGE,27,0.176,7.4,30,12,0,P2,LOW,"DEMAND_NOT_OBSERVED, доступен 51 дн — тестовый ассортиментный сид"
PLAN_A,Екатеринбург,B_PROVEN_MEDIUM,DEMAND,4,0.153,6.4,30,6,2,P2,MEDIUM,скорость 0.153/дн × рост ×1.4 × 30 дн
PLAN_A,Краснодар,D_LOW_DEMAND_SUFFICIENT_HISTORY,COVERAGE,5,0.129,5.4,30,0,0,P3,LOW,"история достаточна, спрос 11 шт — минимальное присутствие"
PLAN_A,Ярославль,D_LOW_DEMAND_SUFFICIENT_HISTORY,COVERAGE,8,0.105,4.4,30,0,0,P3,LOW,"история достаточна, спрос 8 шт — минимальное присутствие"
PLAN_A,Невинномысск,C_NEW,COVERAGE,0,0.062,2.6,30,12,12,P2,LOW,"DEMAND_NOT_OBSERVED, доступен 16 дн — тестовый ассортиментный сид"
PLAN_A,Саратов,D_LOW_DEMAND_SUFFICIENT_HISTORY,COVERAGE,3,0.06,2.5,30,0,0,P3,LOW,"история достаточна, спрос 5 шт — минимальное присутствие"
PLAN_A,Воронеж,D_LOW_DEMAND_SUFFICIENT_HISTORY,COVERAGE,0,0.057,2.4,30,0,0,P3,LOW,"история достаточна, спрос 5 шт — минимальное присутствие"
PLAN_A,Тюмень,C_NEW,COVERAGE,0,0.032,1.3,30,12,12,P2,LOW,"DEMAND_NOT_OBSERVED, доступен 31 дн — тестовый ассортиментный сид"
PLAN_A,Тверь,D_LOW_DEMAND_SUFFICIENT_HISTORY,COVERAGE,0,0.03,1.3,30,0,0,P3,LOW,"история достаточна, спрос 2 шт — минимальное присутствие"
