internal_sku,ozon_sku,is_bundle,maturity_class,aug_actual,share,scenario,sep,oct,nov,dec,confidence
EVT-FT-ACNE-150,3530427102,no,MATURE,24,0.1341,BASE,23,25,31,39,HIGH
EVT-FT-ACNE-150,3530427102,no,MATURE,24,0.1341,SEASONAL,22,29,40,56,HIGH
EVT-FT-ACNE-150,3530427102,no,MATURE,24,0.1341,OWNER_TARGET,60,134,201,402,HIGH
EVT-FS-ACNE-30,1994674912,no,DEVELOPING,22,0.1229,BASE,21,23,28,36,HIGH
EVT-FS-ACNE-30,1994674912,no,DEVELOPING,22,0.1229,SEASONAL,20,26,37,52,HIGH
EVT-FS-ACNE-30,1994674912,no,DEVELOPING,22,0.1229,OWNER_TARGET,55,123,184,369,HIGH
EVT-FT-MOIST-150,3528293526,no,MATURE,17,0.095,BASE,16,18,22,28,HIGH
EVT-FT-MOIST-150,3528293526,no,MATURE,17,0.095,SEASONAL,16,20,28,40,HIGH
EVT-FT-MOIST-150,3528293526,no,MATURE,17,0.095,OWNER_TARGET,43,95,142,285,HIGH
EVT-HC-HAND-300,1997079254,no,MATURE,16,0.0894,BASE,15,17,21,26,HIGH
EVT-HC-HAND-300,1997079254,no,MATURE,16,0.0894,SEASONAL,15,19,27,38,HIGH
EVT-HC-HAND-300,1997079254,no,MATURE,16,0.0894,OWNER_TARGET,40,89,134,268,HIGH
EVT-FS-MOIST-30,1991772098,no,DEVELOPING,13,0.0726,BASE,12,14,17,21,MEDIUM
EVT-FS-MOIST-30,1991772098,no,DEVELOPING,13,0.0726,SEASONAL,12,16,22,31,MEDIUM
EVT-FS-MOIST-30,1991772098,no,DEVELOPING,13,0.0726,OWNER_TARGET,33,73,109,218,MEDIUM
EVT-HC-CHERRY-300,3892518031,no,DEVELOPING,12,0.067,BASE,11,13,15,19,MEDIUM
EVT-HC-CHERRY-300,3892518031,no,DEVELOPING,12,0.067,SEASONAL,11,14,20,28,MEDIUM
EVT-HC-CHERRY-300,3892518031,no,DEVELOPING,12,0.067,OWNER_TARGET,30,67,101,201,MEDIUM
EVT-EP-ENZYME-75,3543342130,no,DEVELOPING,11,0.0615,BASE,10,12,14,18,MEDIUM
EVT-EP-ENZYME-75,3543342130,no,DEVELOPING,11,0.0615,SEASONAL,10,13,18,26,MEDIUM
EVT-EP-ENZYME-75,3543342130,no,DEVELOPING,11,0.0615,OWNER_TARGET,28,61,92,184,MEDIUM
EVT-FC-ACNE-50,2974977988,no,DEVELOPING,11,0.0615,BASE,10,12,14,18,MEDIUM
EVT-FC-ACNE-50,2974977988,no,DEVELOPING,11,0.0615,SEASONAL,10,13,18,26,MEDIUM
EVT-FC-ACNE-50,2974977988,no,DEVELOPING,11,0.0615,OWNER_TARGET,28,61,92,184,MEDIUM
EVT-SET-TON-SER-CREAM-ACNE,3735674506,yes,DEVELOPING,10,0.0559,BASE,9,11,13,16,MEDIUM
EVT-SET-TON-SER-CREAM-ACNE,3735674506,yes,DEVELOPING,10,0.0559,SEASONAL,9,12,17,23,MEDIUM
EVT-SET-TON-SER-CREAM-ACNE,3735674506,yes,DEVELOPING,10,0.0559,OWNER_TARGET,25,56,84,168,MEDIUM
EVT-SET-4PC-ACNE,3733452761,yes,DEVELOPING,9,0.0503,BASE,9,10,12,15,MEDIUM
EVT-SET-4PC-ACNE,3733452761,yes,DEVELOPING,9,0.0503,SEASONAL,8,11,15,21,MEDIUM
EVT-SET-4PC-ACNE,3733452761,yes,DEVELOPING,9,0.0503,OWNER_TARGET,23,50,75,151,MEDIUM
EVT-HC-AMBER-300,3930712640,no,DEVELOPING,8,0.0447,BASE,8,8,10,13,MEDIUM
EVT-HC-AMBER-300,3930712640,no,DEVELOPING,8,0.0447,SEASONAL,7,10,13,19,MEDIUM
EVT-HC-AMBER-300,3930712640,no,DEVELOPING,8,0.0447,OWNER_TARGET,20,45,67,134,MEDIUM
EVT-SET-MOIST-TONIC-SERUM,3735183318,yes,DEVELOPING,7,0.0391,BASE,7,7,9,11,MEDIUM
EVT-SET-MOIST-TONIC-SERUM,3735183318,yes,DEVELOPING,7,0.0391,SEASONAL,6,8,12,16,MEDIUM
EVT-SET-MOIST-TONIC-SERUM,3735183318,yes,DEVELOPING,7,0.0391,OWNER_TARGET,18,39,59,117,MEDIUM
EVT-SET-HAND-CHERRY,3892345516,yes,DEVELOPING,6,0.0335,BASE,6,6,8,10,MEDIUM
EVT-SET-HAND-CHERRY,3892345516,yes,DEVELOPING,6,0.0335,SEASONAL,6,7,10,14,MEDIUM
EVT-SET-HAND-CHERRY,3892345516,yes,DEVELOPING,6,0.0335,OWNER_TARGET,15,34,50,101,MEDIUM
EVT-SET-CHERRY-AMBER,3892223191,yes,DEVELOPING,4,0.0223,BASE,4,4,5,6,LOW
EVT-SET-CHERRY-AMBER,3892223191,yes,DEVELOPING,4,0.0223,SEASONAL,4,5,7,9,LOW
EVT-SET-CHERRY-AMBER,3892223191,yes,DEVELOPING,4,0.0223,OWNER_TARGET,10,22,34,67,LOW
EVT-SET-SER-CREAM-ACNE,3732641694,yes,DEVELOPING,4,0.0223,BASE,4,4,5,6,LOW
EVT-SET-SER-CREAM-ACNE,3732641694,yes,DEVELOPING,4,0.0223,SEASONAL,4,5,7,9,LOW
EVT-SET-SER-CREAM-ACNE,3732641694,yes,DEVELOPING,4,0.0223,OWNER_TARGET,10,22,34,67,LOW
EVT-SET-HAND-AMBER,3892410843,yes,DEVELOPING,3,0.0168,BASE,3,3,4,5,LOW
EVT-SET-HAND-AMBER,3892410843,yes,DEVELOPING,3,0.0168,SEASONAL,3,4,5,7,LOW
EVT-SET-HAND-AMBER,3892410843,yes,DEVELOPING,3,0.0168,OWNER_TARGET,8,17,25,50,LOW
EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,yes,DEVELOPING,1,0.0056,BASE,1,1,1,2,LOW
