internal_sku,ozon_sku,is_bundle,jun,jul,aug,sep_mtd,jun_jul_growth,jul_aug_growth,seller_base_revenue_90d,selling_days,maturity_class
EVT-FT-ACNE-150,3530427102,no,9,10,24,3,1.11,2.4,46550.0,36,MATURE
EVT-FS-ACNE-30,1994674912,no,0,1,22,1,,22.0,26077.0,18,DEVELOPING
EVT-FT-MOIST-150,3528293526,no,2,2,17,0,1.0,8.5,20850.0,14,MATURE
EVT-HC-HAND-300,1997079254,no,10,11,16,6,1.1,1.45,33184.0,29,MATURE
EVT-FS-MOIST-30,1991772098,no,0,10,13,1,,1.3,24759.0,18,DEVELOPING
EVT-HC-CHERRY-300,3892518031,no,1,8,12,0,8.0,1.5,22123.0,16,DEVELOPING
EVT-EP-ENZYME-75,3543342130,no,0,4,11,0,,2.75,15382.0,11,DEVELOPING
EVT-FC-ACNE-50,2974977988,no,0,9,11,2,,1.22,25303.0,20,DEVELOPING
EVT-SET-TON-SER-CREAM-ACNE,3735674506,yes,4,6,10,0,1.5,1.67,41857.0,15,DEVELOPING
EVT-SET-4PC-ACNE,3733452761,yes,4,8,9,2,2.0,1.12,71899.0,19,DEVELOPING
EVT-HC-AMBER-300,3930712640,no,0,2,8,1,,4.0,11463.0,10,DEVELOPING
EVT-SET-MOIST-TONIC-SERUM,3735183318,yes,0,0,7,1,,,10338.0,6,DEVELOPING
EVT-SET-HAND-CHERRY,3892345516,yes,4,3,6,0,0.75,2.0,16765.0,13,DEVELOPING
EVT-SET-CHERRY-AMBER,3892223191,yes,1,2,4,0,2.0,2.0,8984.0,7,DEVELOPING
EVT-SET-SER-CREAM-ACNE,3732641694,yes,3,1,4,0,0.33,4.0,10788.0,6,DEVELOPING
EVT-SET-HAND-AMBER,3892410843,yes,1,1,3,0,1.0,3.0,5951.0,5,DEVELOPING
EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,yes,2,4,1,0,2.0,0.25,13585.0,7,DEVELOPING
EVT-SET-ACNE-TONIC-SERUM,4843362212,yes,0,0,1,0,,,1421.0,1,DEVELOPING
EVT-FC-MOIST-50,2969806788,no,0,0,0,0,,,0.0,0,COLD_START
EVT-SET-SER-CREAM-MOIST,3732933477,yes,0,0,0,0,,,0.0,0,COLD_START
