date,campaign_id,campaign_group,campaign_state_current,expense_rub,bonus_expense_rub,subscription_expense_rub,impressions,clicks,orders,revenue,ctr,cpc,drr_api_if_present,source_raw_file
2026-06-01,27251978,EVETIS_CPC_LEGACY,ARCHIVED,73.46,0.0,0.0,570,21,2,1460.0,3.6842,3.4981,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260601.csv
2026-06-01,27307535,EVETIS_CPC_LEGACY,ARCHIVED,14.34,0.0,0.0,399,4,0,0.0,1.0025,3.585,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260601.csv
2026-06-01,27307598,EVETIS_CPC_LEGACY,ARCHIVED,16.41,0.0,0.0,299,8,0,0.0,2.6756,2.0513,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260601.csv
2026-06-01,27443733,EVETIS_CPC_LEGACY,ARCHIVED,64.31,0.0,0.0,323,21,0,0.0,6.5015,3.0624,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260601.csv
2026-06-02,27251978,EVETIS_CPC_LEGACY,ARCHIVED,70.63,0.0,0.0,745,20,0,0.0,2.6846,3.5315,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260602.csv
2026-06-02,27307535,EVETIS_CPC_LEGACY,ARCHIVED,43.26,0.0,0.0,457,10,1,530.0,2.1882,4.326,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260602.csv
2026-06-02,27307598,EVETIS_CPC_LEGACY,ARCHIVED,31.28,0.0,0.0,350,8,0,0.0,2.2857,3.91,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260602.csv
2026-06-02,27443733,EVETIS_CPC_LEGACY,ARCHIVED,52.57,0.0,0.0,521,17,0,0.0,3.263,3.0924,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260602.csv
2026-06-03,27251978,EVETIS_CPC_LEGACY,ARCHIVED,50.82,0.0,0.0,418,14,0,0.0,3.3493,3.63,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260603.csv
2026-06-03,27307535,EVETIS_CPC_LEGACY,ARCHIVED,40.0,0.0,0.0,407,9,1,480.0,2.2113,4.4444,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260603.csv
2026-06-03,27307598,EVETIS_CPC_LEGACY,ARCHIVED,19.5,0.0,0.0,416,7,0,0.0,1.6827,2.7857,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260603.csv
2026-06-03,27443733,EVETIS_CPC_LEGACY,ARCHIVED,46.8,0.0,0.0,595,12,0,0.0,2.0168,3.9,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260603.csv
2026-06-04,23094942,EVETIS_CPC_LEGACY,ARCHIVED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,0,1,730.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-04,23094954,EVETIS_CPC_LEGACY,ARCHIVED,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0,0,1,933.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AVAILABLE,performance/daily_*.csv
2026-06-04,27251978,EVETIS_CPC_LEGACY,ARCHIVED,44.47,0.0,0.0,377,11,1,730.0,2.9178,4.0427,NOT_AVAILABLE,raw/backfill_v1/performance/expense_20260604.csv
