date,period_label,seller_revenue,quantity,cogs_total,marketplace_commission,logistics,other_marketplace_cost,profit_before_marketing,cpc_spend,search_promo_spend,first_review_promo_spend,total_marketing_cost_confirmed,ref_product_cogs_unproven,profit_after_confirmed_marketing,margin_before_marketing_pct,drr_cpc_pct,drr_total_marketing_pct,sku_with_cogs_missing
2026-06-01,A_commission_41,1891.0,2,526.0,775.31,330.98,0.0,258.71,168.52,0.0,0.0,168.52,NOT_PROVEN,90.19,13.68,8.91,8.91,0
2026-06-02,A_commission_41,480.0,1,240.0,196.8,106.0,0.0,-62.8,197.74,0.0,0.0,197.74,NOT_PROVEN,-260.54,-13.08,41.2,41.2,0
2026-06-03,A_commission_41,480.0,1,240.0,196.8,91.62,0.0,-48.42,157.12,0.0,0.0,157.12,NOT_PROVEN,-205.54,-10.09,32.73,32.73,0
2026-06-04,A_commission_41,2872.0,3,914.0,1177.52,553.14,30.0,197.34,139.89,0.0,0.0,139.89,NOT_PROVEN,57.45,6.87,4.87,4.87,0
2026-06-05,A_commission_41,530.0,1,240.0,217.3,84.76,0.0,-12.06,185.97,0.0,0.0,185.97,NOT_PROVEN,-198.03,-2.28,35.09,35.09,0
2026-06-06,A_commission_41,3110.0,4,914.0,1275.1,333.97,0.0,586.93,373.96,0.0,0.0,373.96,NOT_PROVEN,212.97,18.87,12.02,12.02,0
2026-06-07,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,448.71,0.0,0.0,448.71,NOT_PROVEN,-448.71,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-08,A_commission_41,1923.0,3,662.0,788.43,263.05,0.0,209.52,306.55,168.0,0.0,474.55,NOT_PROVEN,-265.03,10.9,15.94,24.68,0
2026-06-09,A_commission_41,5647.0,4,1658.0,2315.27,348.03,0.0,1325.7,349.32,163.0,0.0,512.32,NOT_PROVEN,813.38,23.48,6.19,9.07,0
2026-06-10,A_commission_41,2236.0,2,709.0,916.76,194.26,0.0,415.98,449.32,0.0,0.0,449.32,NOT_PROVEN,-33.34,18.6,20.09,20.09,0
2026-06-11,A_commission_41,1393.0,2,422.0,571.13,304.82,0.0,95.05,410.53,0.0,0.0,410.53,NOT_PROVEN,-315.48,6.82,29.47,29.47,0
2026-06-12,A_commission_41,2159.0,2,732.0,885.19,202.28,0.0,339.53,480.39,360.0,0.0,840.39,NOT_PROVEN,-500.86,15.73,22.25,38.92,0
2026-06-13,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,528.57,0.0,0.0,528.57,NOT_PROVEN,-528.57,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-14,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,384.03,0.0,0.0,384.03,NOT_PROVEN,-384.03,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-15,A_commission_41,4415.0,4,1303.0,1810.15,554.35,15.0,732.5,295.36,0.0,0.0,295.36,NOT_PROVEN,437.14,16.59,6.69,6.69,0
2026-06-16,A_commission_41,5131.0,3,1133.0,2103.71,426.49,0.0,1467.8,231.57,105.0,0.0,336.57,NOT_PROVEN,1131.23,28.61,4.51,6.56,0
2026-06-17,A_commission_41,3751.0,2,891.0,1537.91,186.2,0.0,1135.89,328.53,0.0,0.0,328.53,NOT_PROVEN,807.36,30.28,8.76,8.76,0
2026-06-18,A_commission_41,3221.0,1,651.0,1320.61,88.86,0.0,1160.53,290.52,0.0,0.0,290.52,NOT_PROVEN,870.01,36.03,9.02,9.02,0
2026-06-19,A_commission_41,1377.0,1,310.0,564.57,106.0,0.0,396.43,248.97,0.0,0.0,248.97,NOT_PROVEN,147.46,28.79,18.08,18.08,0
2026-06-20,A_commission_41,1200.0,1,412.0,492.0,204.81,0.0,91.19,250.85,0.0,0.0,250.85,NOT_PROVEN,-159.66,7.6,20.9,20.9,0
2026-06-21,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,300.0,NOT_PROVEN,-300.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-22,A_commission_41,2139.0,1,492.0,876.99,85.24,0.0,684.77,419.33,0.0,0.0,419.33,NOT_PROVEN,265.44,32.01,19.6,19.6,0
2026-06-23,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,247.68,0.0,0.0,247.68,NOT_PROVEN,-247.68,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-24,A_commission_41,2430.0,1,651.0,996.3,88.68,0.0,694.02,595.74,243.0,0.0,838.74,NOT_PROVEN,-144.72,28.56,24.52,34.52,0
2026-06-25,A_commission_41,1571.0,1,412.0,644.11,439.59,0.0,75.3,512.0,0.0,0.0,512.0,NOT_PROVEN,-436.7,4.79,32.59,32.59,0
2026-06-26,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,237.61,0.0,0.0,237.61,NOT_PROVEN,-237.61,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-27,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,475.67,0.0,0.0,475.67,NOT_PROVEN,-475.67,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-28,A_commission_41,0.0,0,0.0,0.0,285.38,15.0,-300.38,441.26,0.0,0.0,441.26,NOT_PROVEN,-741.64,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-06-29,A_commission_41,2251.0,3,604.0,922.91,414.46,0.0,309.63,502.94,0.0,0.0,502.94,NOT_PROVEN,-193.31,13.76,22.34,22.34,0
2026-06-30,A_commission_41,818.0,1,182.0,335.38,383.6,0.0,-82.98,698.01,0.0,0.0,698.01,NOT_PROVEN,-780.99,-10.14,85.33,85.33,0
2026-07-01,A_commission_41,0.0,0,0.0,0.0,157.53,0.0,-157.53,620.02,0.0,0.0,620.02,NOT_PROVEN,-777.55,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-07-02,A_commission_41,1261.0,1,412.0,517.01,89.14,0.0,242.85,1161.52,0.0,0.0,1161.52,NOT_PROVEN,-918.67,19.26,92.11,92.11,0
2026-07-03,A_commission_41,1799.0,2,364.0,737.59,159.33,0.0,538.08,1300.41,0.0,0.0,1300.41,NOT_PROVEN,-762.33,29.91,72.29,72.29,0
2026-07-04,A_commission_41,0.0,0,0.0,0.0,173.0,15.0,-188.0,1562.55,0.0,0.0,1562.55,NOT_PROVEN,-1750.55,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-07-05,A_commission_41,5412.0,3,1245.0,2218.92,253.14,0.0,1694.94,3293.49,0.0,0.0,3293.49,NOT_PROVEN,-1598.55,31.32,60.86,60.86,0
2026-07-06,A_commission_41,3621.0,3,766.0,1484.61,253.22,0.0,1117.17,2303.67,0.0,0.0,2303.67,NOT_PROVEN,-1186.5,30.85,63.62,63.62,0
2026-07-07,A_commission_41,8876.0,5,1817.0,3639.16,402.59,0.0,3017.25,0.0,0.0,0.0,0.0,NOT_PROVEN,3017.25,33.99,0.0,0.0,0
2026-07-08,A_commission_41,3014.0,1,651.0,1235.74,84.72,0.0,1042.54,0.0,0.0,0.0,0.0,NOT_PROVEN,1042.54,34.59,0.0,0.0,0
2026-07-09,A_commission_41,2646.0,2,584.0,1084.86,160.39,0.0,816.75,0.0,0.0,0.0,0.0,NOT_PROVEN,816.75,30.87,0.0,0.0,0
2026-07-10,A_commission_41,2156.0,2,317.0,883.96,261.45,0.0,693.59,0.0,0.0,0.0,0.0,NOT_PROVEN,693.59,32.17,0.0,0.0,0
2026-07-11,A_commission_41,5420.0,3,1208.0,2222.2,292.36,0.0,1697.44,55.51,0.0,0.0,55.51,NOT_PROVEN,1641.93,31.32,1.02,1.02,0
2026-07-12,A_commission_41,2623.0,2,477.0,1075.43,229.54,0.0,841.03,142.3,0.0,0.0,142.3,NOT_PROVEN,698.73,32.06,5.43,5.43,0
2026-07-13,A_commission_41,896.0,1,133.0,367.36,67.94,0.0,327.7,135.73,0.0,0.0,135.73,NOT_PROVEN,191.97,36.57,15.15,15.15,0
2026-07-14,A_commission_41,10383.0,4,1888.0,4257.03,366.29,0.0,3871.68,324.91,0.0,0.0,324.91,NOT_PROVEN,3546.77,37.29,3.13,3.13,0
2026-07-15,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,537.09,0.0,0.0,537.09,NOT_PROVEN,-537.09,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-07-16,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,743.62,0.0,0.0,743.62,NOT_PROVEN,-743.62,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-07-17,A_commission_41,0.0,0,0.0,0.0,0.0,0.0,0.0,874.66,0.0,0.0,874.66,NOT_PROVEN,-874.66,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0
2026-07-18,A_commission_41,5403.0,4,1183.0,2215.23,319.15,0.0,1685.62,1307.97,0.0,0.0,1307.97,NOT_PROVEN,377.65,31.2,24.21,24.21,0
2026-07-19,A_commission_41,5761.0,4,1369.0,2362.01,352.62,0.0,1677.37,969.16,0.0,0.0,969.16,NOT_PROVEN,708.21,29.12,16.82,16.82,0
2026-07-20,A_commission_41,5446.0,6,1111.0,2232.86,620.01,0.0,1482.13,1174.45,0.0,0.0,1174.45,NOT_PROVEN,307.68,27.22,21.57,21.57,0
2026-07-21,A_commission_41,2144.0,2,304.0,879.04,159.14,0.0,801.82,1233.4,0.0,0.0,1233.4,NOT_PROVEN,-431.58,37.4,57.53,57.53,0
2026-07-22,A_commission_41,3359.0,3,842.0,1377.19,258.09,0.0,881.72,983.61,0.0,0.0,983.61,NOT_PROVEN,-101.89,26.25,29.28,29.28,0
2026-07-23,A_commission_41,6574.0,4,1407.0,2695.34,327.36,0.0,2144.3,793.07,0.0,0.0,793.07,NOT_PROVEN,1351.23,32.62,12.06,12.06,0
2026-07-24,A_commission_41,3900.0,1,651.0,1599.0,84.52,0.0,1565.48,853.96,0.0,0.0,853.96,NOT_PROVEN,711.52,40.14,21.9,21.9,0
2026-07-25,A_commission_41,1109.0,1,182.0,454.69,91.0,0.0,381.31,791.65,0.0,0.0,791.65,NOT_PROVEN,-410.34,34.38,71.38,71.38,0
2026-07-26,A_commission_41,1939.0,2,337.0,794.99,155.1,0.0,651.91,1177.08,0.0,0.0,1177.08,NOT_PROVEN,-525.17,33.62,60.71,60.71,0
2026-07-27,A_commission_41,3513.0,2,614.0,1440.33,169.14,0.0,1289.53,932.78,0.0,512.4,1445.18,NOT_PROVEN,-155.65,36.71,26.55,41.14,0
2026-07-28,A_commission_41,6063.0,3,1063.0,2485.83,250.2,0.0,2263.97,1801.08,0.0,0.0,1801.08,NOT_PROVEN,462.89,37.34,29.71,29.71,0
2026-07-29,A_commission_41,1101.0,1,172.0,451.41,79.71,0.0,397.88,1774.08,0.0,0.0,1774.08,NOT_PROVEN,-1376.2,36.14,161.13,161.13,0
2026-07-30,A_commission_41,5114.0,4,659.0,2096.74,329.56,0.0,2028.7,2122.0,0.0,0.0,2122.0,NOT_PROVEN,-93.3,39.67,41.49,41.49,0
2026-07-31,A_commission_41,4320.0,4,646.0,1771.2,309.43,0.0,1593.37,1832.24,0.0,0.0,1832.24,NOT_PROVEN,-238.87,36.88,42.41,42.41,0
2026-08-01,A_commission_41,5587.0,5,986.0,2290.67,405.81,0.0,1904.52,1323.94,0.0,0.0,1323.94,NOT_PROVEN,580.58,34.09,23.7,23.7,0
2026-08-02,A_commission_41,900.0,1,240.0,369.0,218.97,15.0,57.03,1782.82,0.0,0.0,1782.82,NOT_PROVEN,-1725.79,6.34,198.09,198.09,0
2026-08-03,A_commission_41,900.0,1,240.0,369.0,86.29,0.0,204.71,1640.34,0.0,1442.04,3082.38,NOT_PROVEN,-2877.67,22.75,182.26,342.49,0
2026-08-04,A_commission_41,7869.0,5,1307.0,3226.29,412.2,0.0,2923.51,2297.67,0.0,0.0,2297.67,NOT_PROVEN,625.84,37.15,29.2,29.2,0
2026-08-05,A_commission_41,6883.0,8,1554.0,2933.55,541.22,0.0,1854.23,1683.23,0.0,0.0,1683.23,NOT_PROVEN,171.0,26.94,24.45,24.45,0
2026-08-06,A_commission_41,5318.0,6,1106.0,2180.38,512.95,0.0,1518.67,1542.08,0.0,0.0,1542.08,NOT_PROVEN,-23.41,28.56,29.0,29.0,0
2026-08-07,A_commission_41,2226.0,2,283.0,912.66,220.47,15.0,794.87,1195.66,0.0,0.0,1195.66,NOT_PROVEN,-400.79,35.71,53.71,53.71,0
2026-08-08,A_commission_41,14587.0,14,2913.0,5980.67,1298.98,0.0,4394.35,984.46,0.0,1706.78,2691.24,NOT_PROVEN,1703.11,30.13,6.75,18.45,0
2026-08-09,A_commission_41,5738.0,6,1182.0,2352.58,499.62,0.0,1703.8,1000.7,0.0,402.6,1403.3,NOT_PROVEN,300.5,29.69,17.44,24.46,0
2026-08-10,A_commission_41,11127.0,9,2381.0,4562.07,747.97,0.0,3435.96,927.05,0.0,433.1,1360.15,NOT_PROVEN,2075.81,30.88,8.33,12.22,0
2026-08-11,A_commission_41,4964.0,5,1091.0,2035.24,622.45,15.0,1200.31,1163.11,0.0,0.0,1163.11,NOT_PROVEN,37.2,24.18,23.43,23.43,0
2026-08-12,A_commission_41,4712.0,5,1112.0,1931.92,414.64,0.0,1253.44,1904.27,0.0,0.0,1904.27,NOT_PROVEN,-650.83,26.6,40.41,40.41,0
2026-08-13,A_commission_41,1772.0,2,373.0,726.52,150.92,0.0,521.56,1126.68,0.0,0.0,1126.68,NOT_PROVEN,-605.12,29.43,63.58,63.58,0
2026-08-14,A_commission_41,7619.0,6,1460.0,3123.79,476.31,0.0,2558.9,1111.55,0.0,0.0,1111.55,NOT_PROVEN,1447.35,33.59,14.59,14.59,0
2026-08-15,A_commission_41,6291.0,5,1252.0,2579.31,409.52,0.0,2050.17,1155.56,0.0,1897.1,3052.66,NOT_PROVEN,-1002.49,32.59,18.37,48.52,0
2026-08-16,A_commission_41,2982.0,1,624.0,1222.62,88.57,0.0,1046.81,1292.89,0.0,0.0,1292.89,NOT_PROVEN,-246.08,35.1,43.36,43.36,0
2026-08-17,A_commission_41,7299.0,7,1197.0,2992.59,531.21,0.0,2578.2,1562.41,119.2,0.0,1681.61,NOT_PROVEN,896.59,35.32,21.41,23.04,0
2026-08-18,A_commission_41,1253.0,1,145.0,513.73,91.0,0.0,503.27,1302.24,0.0,0.0,1302.24,NOT_PROVEN,-798.97,40.17,103.93,103.93,0
2026-08-19,A_commission_41,7047.0,6,1386.0,2889.27,488.78,0.0,2282.95,780.95,0.0,1651.88,2432.83,NOT_PROVEN,-149.88,32.4,11.08,34.52,0
2026-08-20,A_commission_41,11441.0,9,2437.0,4690.81,893.17,0.0,3420.02,1682.72,119.2,0.0,1801.92,NOT_PROVEN,1618.1,29.89,14.71,15.75,0
2026-08-21,A_commission_41,18914.0,15,3609.0,7754.74,1249.65,0.0,6300.61,974.07,0.0,0.0,974.07,NOT_PROVEN,5326.54,33.31,5.15,5.15,0
2026-08-22,A_commission_41,1192.0,1,133.0,488.72,79.43,0.0,490.85,726.15,0.0,922.32,1648.47,NOT_PROVEN,-1157.62,41.18,60.92,138.29,0
2026-08-23,A_commission_41,5771.0,4,1195.0,2366.11,360.42,0.0,1849.47,1026.78,0.0,0.0,1026.78,NOT_PROVEN,822.69,32.05,17.79,17.79,0
2026-08-24,A_commission_41,6158.0,5,1331.0,2524.78,416.95,0.0,1885.27,758.16,0.0,0.0,758.16,NOT_PROVEN,1127.11,30.61,12.31,12.31,0
2026-08-25,A_commission_41,7514.0,7,1444.0,3080.74,582.65,0.0,2406.61,2539.06,0.0,0.0,2539.06,NOT_PROVEN,-132.45,32.03,33.79,33.79,0
2026-08-26,A_commission_41,3079.0,3,811.0,1262.39,454.2,0.0,551.41,2010.24,0.0,0.0,2010.24,NOT_PROVEN,-1458.83,17.91,65.29,65.29,0
2026-08-27,A_commission_41,4979.0,3,1002.0,2041.39,233.18,0.0,1702.43,909.35,0.0,0.0,909.35,NOT_PROVEN,793.08,34.19,18.26,18.26,0
2026-08-28,B_commission_52,7714.0,7,1323.0,3162.74,690.53,0.0,2537.73,1599.0,0.0,0.0,1599.0,NOT_PROVEN,938.73,32.9,20.73,20.73,0
2026-08-29,B_commission_52,7946.0,5,1579.0,3396.24,593.63,0.0,2377.13,1371.74,0.0,0.0,1371.74,NOT_PROVEN,1005.39,29.92,17.26,17.26,0
2026-08-30,B_commission_52,2182.0,2,364.0,894.62,295.42,0.0,627.96,1770.68,0.0,0.0,1770.68,NOT_PROVEN,-1142.72,28.78,81.15,81.15,0
2026-08-31,B_commission_52,913.0,1,240.0,374.33,76.44,0.0,222.23,0.0,0.0,894.26,894.26,NOT_PROVEN,-672.03,24.34,0.0,97.95,0
