date,ozon_sku,seller_price,sale_price,bonus,coinvestment,spp_pct,identity_check
2026-06-01,3530427102,730.0,341.9,384.68,3.42,53.16,0.0
2026-06-01,3892223191,1161.0,829.0,332.0,0.0,28.6,0.0
2026-06-02,1997079254,480.0,259.05,218.36,2.59,46.03,0.0
2026-06-03,1997079254,480.0,256.9,223.1,0.0,46.48,0.0
2026-06-04,1997079254,530.0,229.52,298.18,2.3,56.69,0.0
2026-06-04,3528293526,730.0,302.86,424.11,3.03,58.51,0.0
2026-06-04,3735674506,1612.0,845.71,757.83,8.46,47.54,0.0
2026-06-05,1997079254,530.0,232.38,295.3,2.32,56.15,-0.0
2026-06-06,1997079254,530.0,265.46,261.89,2.65,49.91,0.0
2026-06-06,3530427102,730.0,336.79,389.84,3.37,53.86,0.0
2026-06-06,3530427102,730.0,374.29,355.71,0.0,48.73,0.0
2026-06-06,3732641694,1120.0,564.76,549.59,5.65,49.58,0.0
2026-06-08,1997079254,556.0,256.19,297.25,2.56,53.92,0.0
2026-06-08,1997079254,530.0,247.03,280.5,2.47,53.39,0.0
2026-06-08,3530427102,837.0,381.01,452.18,3.81,54.48,0.0
2026-06-09,3530427102,837.0,381.9,451.28,3.82,54.37,0.0
2026-06-09,3735674506,1550.0,1049.52,500.48,0.0,32.29,0.0
2026-06-09,3735674506,1630.0,892.89,728.18,8.93,45.22,0.0
2026-06-09,3735674506,1630.0,892.89,728.18,8.93,45.22,0.0
2026-06-10,1997079254,556.0,220.95,332.84,2.21,60.26,0.0
2026-06-10,3733947454,1680.0,713.33,959.54,7.13,57.54,0.0
2026-06-11,1997079254,556.0,204.76,349.19,2.05,63.17,0.0
2026-06-11,3530427102,837.0,323.81,509.95,3.24,61.31,0.0
2026-06-12,1997079254,529.0,237.14,289.49,2.37,55.17,0.0
2026-06-12,3735674506,1630.0,759.05,870.95,0.0,53.43,0.0
2026-06-15,1997079254,556.0,204.76,349.19,2.05,63.17,0.0
2026-06-15,3530427102,859.0,388.57,470.43,0.0,54.76,0.0
2026-06-15,3733947454,1800.0,660.0,1133.4,6.6,63.33,0.0
2026-06-15,3892345516,1200.0,557.14,637.29,5.57,53.57,0.0
2026-06-16,3732641694,1651.0,645.5,999.04,6.46,60.9,0.0
2026-06-16,3733452761,2430.0,1057.09,1362.34,10.57,56.5,0.0
2026-06-16,3892518031,1050.0,470.98,574.31,4.71,55.14,0.0
2026-06-17,1997079254,530.0,247.62,279.9,2.48,53.28,0.0
2026-06-17,3733452761,3221.0,1359.05,1861.95,0.0,57.81,0.0
2026-06-18,3733452761,3221.0,1353.33,1867.67,0.0,57.98,0.0
2026-06-19,3732641694,1377.0,636.19,740.81,0.0,53.8,0.0
2026-06-20,3892345516,1200.0,539.05,655.56,5.39,55.08,0.0
2026-06-22,3735674506,2139.0,1096.19,1031.85,10.96,48.75,0.0
2026-06-24,3733452761,2430.0,1225.71,1204.29,0.0,49.56,0.0
2026-06-25,3892345516,1571.0,760.23,803.17,7.6,51.61,0.0
2026-06-29,1997079254,556.0,206.67,347.26,2.07,62.83,0.0
2026-06-29,3528293526,872.0,370.48,497.82,3.7,57.51,0.0
2026-06-29,3530427102,823.0,290.48,529.62,2.9,64.7,0.0
2026-06-30,3530427102,818.0,311.13,506.87,0.0,61.96,0.0
2026-07-02,3892410843,1261.0,532.08,723.6,5.32,57.8,0.0
2026-07-03,3530427102,967.0,378.3,584.92,3.78,60.88,0.0
2026-07-03,3530427102,832.0,347.17,481.36,3.47,58.27,0.0
2026-07-05,3528293526,1161.0,393.23,763.84,3.93,66.13,-0.0
2026-07-05,3733452761,2831.0,1349.52,1467.98,13.5,52.33,0.0
2026-07-05,3892410843,1420.0,561.14,853.25,5.61,60.48,0.0
2026-07-06,3528293526,975.0,333.18,638.49,3.33,65.83,-0.0
2026-07-06,3892345516,1416.0,755.66,660.34,0.0,46.63,0.0
2026-07-06,3930712640,1230.0,464.21,761.15,4.64,62.26,0.0
2026-07-07,3528293526,872.0,333.33,535.34,3.33,61.77,-0.0
2026-07-07,3530427102,1148.0,416.19,727.65,4.16,63.75,0.0
2026-07-07,3732641694,1823.0,59.68,1762.72,0.6,96.73,0.0
2026-07-07,3733452761,2923.0,1211.43,1699.46,12.11,58.56,-0.0
2026-07-07,3735674506,2110.0,935.3,1174.7,0.0,55.67,0.0
2026-07-08,3733452761,3014.0,1244.76,1756.79,12.45,58.7,0.0
2026-07-09,3892345516,1416.0,591.43,818.66,5.91,58.23,0.0
2026-07-09,3930712640,1230.0,497.63,727.39,4.98,59.54,0.0
2026-07-10,2974977988,980.0,532.29,442.39,5.32,45.68,0.0
2026-07-10,3892518031,1176.0,432.38,739.3,4.32,63.23,0.0
2026-07-11,2974977988,990.0,555.24,429.21,5.55,43.92,0.0
2026-07-11,3733452761,3014.0,1122.86,1879.91,11.23,62.75,0.0
2026-07-11,3892345516,1416.0,611.43,798.46,6.11,56.82,0.0
2026-07-12,1991772098,1060.0,559.05,495.36,5.59,47.26,0.0
2026-07-12,3892223191,1563.0,743.81,811.75,7.44,52.41,0.0
2026-07-13,1991772098,896.0,307.62,585.3,3.08,65.67,0.0
2026-07-14,3735674506,2989.0,1278.86,1697.35,12.79,57.21,0.0
2026-07-14,3735674506,2989.0,1278.86,1697.35,12.79,57.21,0.0
2026-07-14,3735674506,2989.0,1278.86,1697.35,12.79,57.21,0.0
2026-07-14,3892345516,1416.0,578.62,831.59,5.79,59.14,0.0
2026-07-18,1991772098,853.0,292.38,557.7,2.92,65.72,0.0
2026-07-18,1997079254,586.0,280.0,303.2,2.8,52.22,0.0
2026-07-18,3543342130,1123.0,519.05,598.76,5.19,53.78,0.0
2026-07-18,3733452761,2841.0,1662.86,1161.51,16.63,41.47,0.0
2026-07-19,1997079254,650.0,369.52,276.78,3.7,43.15,0.0
2026-07-19,2974977988,1021.0,362.29,655.09,3.62,64.52,-0.0
2026-07-19,3735674506,2045.0,1114.29,919.57,11.14,45.51,-0.0
2026-07-19,3735674506,2045.0,920.0,1115.8,9.2,55.01,0.0
