internal_sku,marketplace,marketplace_sku,marketplace_product_id,offer_id,vendor_code,valid_from,valid_to,is_current,mapping_source,mapping_status,verified_at
EVT-EP-ENZYME-75,OZON,3543342130,3630190465,535580776,535580776,2026-02-19,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-EP-ENZYME-75,WB,535580776,NOT_AVAILABLE,NOT_APPLICABLE,Пудра-1,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-FC-ACNE-50,OZON,2974977988,2882737539,438775617,438775617,2025-10-15,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-FC-ACNE-50,WB,438775617,NOT_AVAILABLE,NOT_APPLICABLE,Крем Акне,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-FC-MOIST-50,OZON,2969806788,2875763373,438775437,438775437,2025-10-14,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-FC-MOIST-50,WB,438775437,NOT_AVAILABLE,NOT_APPLICABLE,Крем УВЛ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-FS-ACNE-30,OZON,1994674912,1567734095,305101361,305101361,2025-04-02,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-FS-ACNE-30,WB,305101361,NOT_AVAILABLE,NOT_APPLICABLE,Сыворотка Акне,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-FS-MOIST-30,OZON,1991772098,1563818723,305101272,305101272,2025-04-01,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-FS-MOIST-30,WB,305101272,NOT_AVAILABLE,NOT_APPLICABLE,Сыворотка УВЛ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-FT-ACNE-150,OZON,3530427102,3610669117,535581675,535581675,2026-02-12,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-FT-ACNE-150,WB,535581675,NOT_AVAILABLE,NOT_APPLICABLE,Тоник Акне,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-FT-MOIST-150,OZON,3528293526,3609814812,535581674,535581674,2026-02-12,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-FT-MOIST-150,WB,535581674,NOT_AVAILABLE,NOT_APPLICABLE,Тоник УВЛ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-HC-AMBER-300,OZON,3930712640,4072056117,593111985,593111985,2026-04-09,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-HC-AMBER-300,WB,593111985,NOT_AVAILABLE,NOT_APPLICABLE,Крем Амбра,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-HC-BODY-300,WB,252442341,NOT_AVAILABLE,NOT_APPLICABLE,Крем Тело,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-HC-CHERRY-300,OZON,3892518031,4071980840,593111986,593111986,2026-04-09,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-HC-CHERRY-300,WB,593111986,NOT_AVAILABLE,NOT_APPLICABLE,Крем Вишня,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-HC-HAND-300,OZON,1997079254,1571076768,252442517,252442517,2025-04-03,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-HC-HAND-300,WB,252442517,NOT_AVAILABLE,NOT_APPLICABLE,Крем Руки,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-4PC-ACNE,OZON,3733452761,3874879926,868597351,868597351,2026-03-24,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-4PC-ACNE,WB,868597351,NOT_AVAILABLE,NOT_APPLICABLE,Набор_4единицы_прыщ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-ACNE-POWDER-SERUM-CREAM,OZON,3733947454,3875545018,909951444,909951444,2026-03-24,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-ACNE-POWDER-SERUM-CREAM,WB,909951444,NOT_AVAILABLE,NOT_APPLICABLE,Набор пудра+сыворотка+крем АКНЕ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-ACNE-TONIC-SERUM,OZON,4843362212,5223140100,1083392113,1083392113,2026-06-24,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-ACNE-TONIC-SERUM,WB,1083392113,NOT_AVAILABLE,NOT_APPLICABLE,Набор тоник+сыворотка АКНЕ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-CHERRY-AMBER,OZON,3892223191,4071646113,930334397,930334397,2026-04-09,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-CHERRY-AMBER,WB,930334397,NOT_AVAILABLE,NOT_APPLICABLE,Набор вишня+амбра,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-HAND-AMBER,OZON,3892410843,4071875240,930334396,930334396,2026-04-09,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-HAND-AMBER,WB,930334396,NOT_AVAILABLE,NOT_APPLICABLE,Набор руки+амбра,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-HAND-BODY,WB,252441968,NOT_AVAILABLE,NOT_APPLICABLE,Набор руки+тело,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-HAND-CHERRY,OZON,3892345516,4071797739,930334395,930334395,2026-04-09,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-HAND-CHERRY,WB,930334395,NOT_AVAILABLE,NOT_APPLICABLE,Набор руки+вишня,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-MOIST-TONIC-SERUM,OZON,3735183318,3877203725,910330849,910330849,2026-03-24,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-MOIST-TONIC-SERUM,WB,910330849,NOT_AVAILABLE,NOT_APPLICABLE,Набор тоник+сыворотка УВЛ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-SER-CREAM-ACNE,OZON,3732641694,3873801234,567668635,567668635,2026-03-24,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-SER-CREAM-ACNE,WB,567668635,NOT_AVAILABLE,NOT_APPLICABLE,Набор сыворотка+крем АКНЕ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-SER-CREAM-MOIST,OZON,3732933477,3874171160,567668636,567668636,2026-03-24,,true,Ozon Seller API /v3/product/list + /v3/product/info/list,RESOLVED_FROM_OZON_API,2026-09-01
EVT-SET-SER-CREAM-MOIST,WB,567668636,NOT_AVAILABLE,NOT_APPLICABLE,Набор сыворотка+крем УВЛ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-TON-CREAM-ACNE,WB,952068582,NOT_AVAILABLE,NOT_APPLICABLE,Набор тоник+крем Акне,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
EVT-SET-TON-CREAM-MOIST,WB,773170315,NOT_AVAILABLE,NOT_APPLICABLE,Набор тоник+крем УВЛ,2025-01-01,,true,"wb_raw.REF_SKU_MASTER (миграционный источник, не runtime-зависимость)",MIGRATED_FROM_WB_REFERENCE,2026-09-01
