tovar,ozon_sku,campaign_id,internal_sku,cogs_bq_rub,cogs_cabinet_rub,marzha_52_pct
набор 4 шага,3733452761,32158051,EVT-SET-4PC-ACNE,624,629,23.7
сыворотка акне,1994674912,33703975,EVT-FS-ACNE-30,138,138,25.0
сыворотка увл,1991772098,32157947,EVT-FS-MOIST-30,133,133,27.0
тоник акне,3530427102,32157988,EVT-FT-ACNE-150,182,182,21.4
крем лицо акне,2974977988,32157965,EVT-FC-ACNE-50,145,150,27.1
набор сыв+крем,3732641694,33678261,EVT-SET-SER-CREAM-ACNE,283,305,18.5
набор руки+вишня,3892345516,33678220,EVT-SET-HAND-CHERRY,412,412,3.5
набор тоник+сыв увл,3735183318,33678331,EVT-SET-MOIST-TONIC-SERUM,315,315,12.0
набор 3 ед акне,3735674506,32158008,EVT-SET-TON-SER-CREAM-ACNE,465,470,21.6
набор руки+амбра,3892410843,33678220,EVT-SET-HAND-AMBER,412,412,3.8
набор тоник+сыв акне,4843362212,33678331,EVT-SET-ACNE-TONIC-SERUM,320,320,16.8
крем ваниль,3930712640,33678192,EVT-HC-AMBER-300,172,172,21.2
энзимная пудра,3543342130,32158176,EVT-EP-ENZYME-75,159,159,23.0
крем вишня,3892518031,32157919,EVT-HC-CHERRY-300,172,172,19.2
тоник увл,3528293526,33678288,EVT-FT-MOIST-150,182,182,19.1
набор вишня+амбра,3892223191,33678220,EVT-SET-CHERRY-AMBER,344,344,10.0
набор с пудрой,3733947454,32158299,EVT-SET-ACNE-POWDER-SERUM-CREAM,442,447,16.7
крем руки,1997079254,32157891,EVT-HC-HAND-300,240,240,4.9
