internal_sku,seller_revenue,quantity,profit_before_marketing,total_marketing_cost_confirmed,profit_after_confirmed_marketing,margin_before_pct,margin_after_pct,drr_cpc_pct,drr_total_pct
EVT-SET-4PC-ACNE,61209.0,20,21478.23,7295.56,14182.67,35.09,23.17,11.92,11.92
EVT-FT-ACNE-150,39009.0,40,12261.87,8007.44,4254.43,31.43,10.91,20.53,20.53
EVT-SET-TON-SER-CREAM-ACNE,39208.0,19,12144.74,8345.94,3798.8,30.98,9.69,10.11,21.29
EVT-SET-SER-CREAM-ACNE,10788.0,8,3266.66,0.0,3266.66,30.28,30.28,0.0,0.0
EVT-FS-ACNE-30,17271.0,17,6075.9,3320.76,2755.14,35.18,15.95,19.23,19.23
EVT-FS-MOIST-30,21163.0,21,8193.46,5483.9,2709.56,38.72,12.8,25.91,25.91
EVT-SET-HAND-CHERRY,13236.0,10,2607.92,0.0,2607.92,19.7,19.7,0.0,0.0
EVT-FT-MOIST-150,16154.0,17,5108.88,2831.85,2277.03,31.63,14.1,17.53,17.53
EVT-FC-ACNE-50,21322.0,19,8300.19,6418.91,1881.28,38.93,8.82,30.1,30.1
EVT-SET-MOIST-TONIC-SERUM,4992.0,4,1199.21,0.0,1199.21,24.02,24.02,0.0,0.0
EVT-SET-HAND-AMBER,4820.0,4,826.37,0.0,826.37,17.14,17.14,0.0,0.0
EVT-SET-ACNE-POWDER-SERUM-CREAM,11423.0,6,3401.22,2879.09,522.13,29.78,4.57,25.2,25.2
EVT-SET-ACNE-TONIC-SERUM,1421.0,1,407.87,0.0,407.87,28.7,28.7,0.0,0.0
EVT-HC-AMBER-300,8103.0,8,2723.97,2947.49,-223.52,33.62,-2.76,21.42,36.38
EVT-SET-CHERRY-AMBER,10145.0,8,2451.72,2743.78,-292.06,24.17,-2.88,0.0,27.05
EVT-EP-ENZYME-75,14361.0,14,4977.67,5785.39,-807.72,34.66,-5.62,40.29,40.29
EVT-HC-CHERRY-300,17827.0,19,5418.36,6454.41,-1036.05,30.39,-5.81,27.64,36.21
EVT-HC-HAND-300,25303.0,36,2710.97,5949.12,-3238.15,10.71,-12.8,23.51,23.51
