date,period_label,internal_sku,ozon_sku,seller_revenue,quantity,actual_commission_ratio,cogs_unit,cogs_total,marketplace_commission,logistics,other_marketplace_cost,cpc_spend,search_promo_spend,first_review_promo_spend,other_confirmed_marketing_cost,total_marketing_cost_confirmed,ref_product_cogs_unproven,profit_before_marketing,profit_after_confirmed_marketing,margin_before_marketing_pct,margin_after_confirmed_marketing_pct,drr_cpc_pct,drr_total_marketing_pct,cogs_status
2026-06-01,A_commission_41,EVT-HC-HAND-300,1997079254,0.0,0,NOT_AVAILABLE,240.0,0.0,0.0,0.0,0.0,14.34,NOT_APPLICABLE,0.0,0,14.34,NOT_PROVEN,0.0,-14.34,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-FT-MOIST-150,3528293526,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,16.41,NOT_APPLICABLE,0.0,0,16.41,NOT_PROVEN,0.0,-16.41,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-FT-ACNE-150,3530427102,730.0,1,0.41,182.0,182.0,299.3,73.98,0.0,46.31,NOT_APPLICABLE,0.0,0,46.31,NOT_PROVEN,174.72,128.41,23.93,17.59,6.34,6.34,OK
2026-06-01,A_commission_41,EVT-SET-SER-CREAM-ACNE,3732641694,0.0,0,NOT_AVAILABLE,310.0,0.0,0.0,144.0,0.0,4.38,NOT_APPLICABLE,0.0,0,4.38,NOT_PROVEN,-144.0,-148.38,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-SET-4PC-ACNE,3733452761,0.0,0,NOT_AVAILABLE,651.0,0.0,0.0,0.0,0.0,26.81,NOT_APPLICABLE,0.0,0,26.81,NOT_PROVEN,0.0,-26.81,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,0.0,0,NOT_AVAILABLE,469.0,0.0,0.0,0.0,0.0,7.1,NOT_APPLICABLE,0.0,0,7.1,NOT_PROVEN,0.0,-7.1,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-SET-TON-SER-CREAM-ACNE,3735674506,0.0,0,NOT_AVAILABLE,492.0,0.0,0.0,0.0,0.0,16.76,NOT_APPLICABLE,0.0,0,16.76,NOT_PROVEN,0.0,-16.76,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-SET-CHERRY-AMBER,3892223191,1161.0,1,0.41,344.0,344.0,476.01,113.0,0.0,24.68,NOT_APPLICABLE,0.0,0,24.68,NOT_PROVEN,227.99,203.31,19.64,17.51,2.13,2.13,OK
2026-06-01,A_commission_41,EVT-HC-CHERRY-300,3892518031,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-01,A_commission_41,EVT-HC-AMBER-300,3930712640,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-HC-HAND-300,1997079254,480.0,1,0.41,240.0,240.0,196.8,106.0,0.0,21.75,NOT_APPLICABLE,0.0,0,21.75,NOT_PROVEN,-62.8,-84.55,-13.08,-17.61,4.53,4.53,OK
2026-06-02,A_commission_41,EVT-FT-MOIST-150,3528293526,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,31.28,NOT_APPLICABLE,0.0,0,31.28,NOT_PROVEN,0.0,-31.28,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-FT-ACNE-150,3530427102,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,37.16,NOT_APPLICABLE,0.0,0,37.16,NOT_PROVEN,0.0,-37.16,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-SET-SER-CREAM-ACNE,3732641694,0.0,0,NOT_AVAILABLE,310.0,0.0,0.0,0.0,0.0,13.21,NOT_APPLICABLE,0.0,0,13.21,NOT_PROVEN,0.0,-13.21,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-SET-4PC-ACNE,3733452761,0.0,0,NOT_AVAILABLE,651.0,0.0,0.0,0.0,0.0,27.13,NOT_APPLICABLE,0.0,0,27.13,NOT_PROVEN,0.0,-27.13,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-SET-ACNE-POWDER-SERUM-CREAM,3733947454,0.0,0,NOT_AVAILABLE,469.0,0.0,0.0,0.0,0.0,7.6,NOT_APPLICABLE,0.0,0,7.6,NOT_PROVEN,0.0,-7.6,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-SET-TON-SER-CREAM-ACNE,3735674506,0.0,0,NOT_AVAILABLE,492.0,0.0,0.0,0.0,0.0,33.48,NOT_APPLICABLE,0.0,0,33.48,NOT_PROVEN,0.0,-33.48,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-SET-CHERRY-AMBER,3892223191,0.0,0,NOT_AVAILABLE,344.0,0.0,0.0,0.0,0.0,4.63,NOT_APPLICABLE,0.0,0,4.63,NOT_PROVEN,0.0,-4.63,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-HC-CHERRY-300,3892518031,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,21.51,NOT_APPLICABLE,0.0,0,21.51,NOT_PROVEN,0.0,-21.51,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-02,A_commission_41,EVT-HC-AMBER-300,3930712640,0.0,0,NOT_AVAILABLE,172.0,0.0,0.0,0.0,0.0,0.0,NOT_APPLICABLE,0.0,0,0.0,NOT_PROVEN,0.0,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-03,A_commission_41,EVT-HC-HAND-300,1997079254,480.0,1,0.41,240.0,240.0,196.8,91.62,0.0,30.83,NOT_APPLICABLE,0.0,0,30.83,NOT_PROVEN,-48.42,-79.25,-10.09,-16.51,6.42,6.42,OK
2026-06-03,A_commission_41,EVT-FT-MOIST-150,3528293526,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,19.5,NOT_APPLICABLE,0.0,0,19.5,NOT_PROVEN,0.0,-19.5,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-03,A_commission_41,EVT-FT-ACNE-150,3530427102,0.0,0,NOT_AVAILABLE,182.0,0.0,0.0,0.0,0.0,21.48,NOT_APPLICABLE,0.0,0,21.48,NOT_PROVEN,0.0,-21.48,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
2026-06-03,A_commission_41,EVT-SET-SER-CREAM-ACNE,3732641694,0.0,0,NOT_AVAILABLE,310.0,0.0,0.0,0.0,0.0,18.6,NOT_APPLICABLE,0.0,0,18.6,NOT_PROVEN,0.0,-18.6,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OK
