metric,stage2_reported,stage2_1_corrected,delta,reason
seller_revenue,337755.0,337755.0,0.0,без изменений
quantity,271,271.0,0.0,без изменений
cogs_total,71000.0,71000.0,0.0,без изменений
marketplace_commission,138729.45,138729.45,0.0,без изменений
logistics,23802.11,26675.79,2873.68,"в экономику вошли начисления логистики за дни без продаж этого SKU (возвратная логистика и доставка по отправлениям, чья выручка пришлась на другую дату)"
other_marketplace_cost,15.0,120.0,105.0,то же основание
profit_before_marketing,104208.44,101229.76,-2978.68,следствие полноты логистики и прочих расходов
cpc_spend,82604.23,82604.23,0.0,без изменений
search_promo_spend,1277.4,1277.4,0.0,без изменений
first_review_promo_spend,5688.86,9862.48,4173.62,внутренний join терял события типа 116 в дни без продаж SKU; после перехода на полное объединение ключей учтены все 12 событий
total_marketing_cost_confirmed,89570.49,93744.11,4173.62,следствие поправки по типу 116
profit_after_confirmed_marketing,14637.95,7485.65,-7152.3,следствие двух поправок выше
