month,campaign_spend_rub,sku_attributed_rub,residual_rub,residual_pct
2025-05,32346.56,31990.31,356.25,1.1
2025-06,22842.33,19269.22,3573.11,15.6
2025-07,20909.39,20396.82,512.57,2.5
2025-08,21141.10,20323.90,817.20,3.9
2025-09,30249.31,30013.55,235.76,0.8
2025-10,22624.26,18839.31,3784.95,16.7
2025-11,35968.24,21923.64,14044.60,39.0
2025-12,25700.29,18362.75,7337.54,28.6
2026-01,21573.63,21253.11,320.52,1.5
2026-02,32253.64,30064.02,2189.62,6.8
2026-03,47289.32,46797.55,491.77,1.0
2026-04,49778.55,48081.65,1696.90,3.4
2026-05,26039.77,25900.35,139.42,0.5
2026-06,11695.66,10014.33,1681.33,14.4
2026-07,30802.01,30741.57,60.44,0.2
2026-08,43110.63,40701.83,2408.80,5.6
2026-09,2366.03,2231.16,134.87,5.7
