month,type_41_cpc_media,type_54_search_promo_cpo,type_116_first_customer_review,total_all_types
2025-04,0,0,0,-583.32
2025-05,0,-11419.93,0,-39780.34
2025-06,0,-2297.58,0,-34180.71
2025-07,0,-1537.61,0,-34476.25
2025-08,0,-5231.13,0,-40322.32
2025-09,-30039.61,-209.70,0,-48304.62
2025-10,-19123.70,-3500.56,0,-42102.77
2025-11,-21956.11,-14012.13,0,-66985.76
2025-12,-18952.30,-6747.99,0,-48888.70
2026-01,-21333.93,-239.70,0,-38194.62
2026-02,-32253.64,0,0,-58540.78
2026-03,-47169.82,-119.50,0,-86728.47
2026-04,-49691.20,-87.35,0,-81073.53
2026-05,-26039.77,0,0,-48552.45
2026-06,-10656.66,-1039.00,0,-18515.93
2026-07,-30802.01,0,-512.40,-42437.70
2026-08,-42872.23,-238.40,-9350.08,-72058.09
2026-09,-2366.03,0,0,-3492.32
