month,postings,finance,ads_campaign,ads_sku,supply
2025-04,1,4,0,0,3
2025-05,116,384,68,83,2
2025-06,106,395,69,66,0
2025-07,90,401,110,114,11
2025-08,150,605,176,182,0
2025-09,119,538,135,211,0
2025-10,102,461,107,214,11
2025-11,246,781,90,202,8
2025-12,129,555,100,287,0
2026-01,107,363,52,145,0
2026-02,210,657,60,147,10
2026-03,230,858,128,244,6
2026-04,185,832,153,455,4
2026-05,106,526,117,316,0
2026-06,55,326,137,334,4
2026-07,89,483,234,289,5
2026-08,202,906,321,348,0
2026-09,17,55,17,26,3
