internal_sku,bq_batch_id,bq_product_cogs_rub,bq_legacy_cogs_rub,doc_batch,doc_unit_cogs_rub,delta_bq_minus_doc,delta_pct,verdict
EVT-HC-BODY-300,PB-003,219,219,1,208.05,10.95,5.3,BQ_HIGHER
EVT-HC-HAND-300,PB-001,219,219,1,208.05,10.95,5.3,BQ_HIGHER
EVT-SET-HAND-BODY,IS-004,429,419,1,416.10,12.90,3.1,BQ_HIGHER
EVT-HC-HAND-300,PB-002,240,240,2,231.38,8.62,3.7,BQ_HIGHER
EVT-FS-ACNE-30,PB-022,165,165,3,168.00,-3.00,-1.8,BQ_LOWER
EVT-FS-MOIST-30,PB-020,165,165,3,161.93,3.07,1.9,WITHIN_TOLERANCE
EVT-FC-ACNE-50,PB-031,145,145,4,131.66,13.34,10.1,BQ_HIGHER_MATERIAL
EVT-FC-MOIST-50,PB-030,145,145,4,130.78,14.22,10.9,BQ_HIGHER_MATERIAL
EVT-EP-ENZYME-75,PB-050,159,174,5,155.97,3.03,1.9,WITHIN_TOLERANCE
EVT-FT-MOIST-150,PB-040,182,200,5,179.46,2.54,1.4,WITHIN_TOLERANCE
EVT-FT-ACNE-150,PB-041,182,200,5,179.46,2.54,1.4,WITHIN_TOLERANCE
EVT-FS-ACNE-30,PB-023,138,150,6,135.78,2.22,1.6,WITHIN_TOLERANCE
EVT-FS-MOIST-30,PB-021,133,150,6,130.81,2.19,1.7,WITHIN_TOLERANCE
EVT-HC-CHERRY-300,PB-010,172,190,7,171.96,0.04,0.0,MATCH
EVT-HC-AMBER-300,PB-011,172,190,7,171.96,0.04,0.0,MATCH
EVT-HC-HAND-300,TR-001,214.5,235,derived_from_batch_1_set,208.05,6.45,3.1,DERIVED_SET_HALF
EVT-HC-BODY-300,TR-001,214.5,235,derived_from_batch_1_set,208.05,6.45,3.1,DERIVED_SET_HALF
