internal_sku,first_sale_date,last_sale_date,gross_ordered_qty,cancelled_qty,delivered_qty,in_flight_qty,returned_qty,net_realized_qty,returns_status
EVT-HC-HAND-300,2025-05-11,2026-09-03,567,49,507,11,NOT_PROVEN,507,RETURNS_NOT_INGESTED
EVT-FS-MOIST-30,2025-04-26,2026-09-01,273,24,246,3,NOT_PROVEN,246,RETURNS_NOT_INGESTED
EVT-FS-ACNE-30,2025-05-05,2026-09-02,254,35,214,5,NOT_PROVEN,214,RETURNS_NOT_INGESTED
EVT-HC-BODY-300,2025-05-05,2026-04-09,239,24,215,0,NOT_PROVEN,215,RETURNS_NOT_INGESTED
EVT-SET-HAND-BODY,2025-05-05,2026-04-17,178,12,166,0,NOT_PROVEN,166,RETURNS_NOT_INGESTED
EVT-FC-MOIST-50,2025-10-24,2026-05-14,158,28,130,0,NOT_PROVEN,130,RETURNS_NOT_INGESTED
EVT-FC-ACNE-50,2025-11-13,2026-09-02,143,30,110,3,NOT_PROVEN,110,RETURNS_NOT_INGESTED
EVT-EP-ENZYME-75,2026-02-27,2026-08-24,87,10,77,0,NOT_PROVEN,77,RETURNS_NOT_INGESTED
EVT-FT-ACNE-150,2026-03-01,2026-09-03,76,7,63,6,NOT_PROVEN,63,RETURNS_NOT_INGESTED
EVT-FT-MOIST-150,2026-02-27,2026-08-31,73,10,58,5,NOT_PROVEN,58,RETURNS_NOT_INGESTED
EVT-SET-4PC-ACNE,2026-04-05,2026-09-03,45,9,34,2,NOT_PROVEN,34,RETURNS_NOT_INGESTED
EVT-SET-TON-SER-CREAM-ACNE,2026-03-30,2026-08-31,33,8,24,1,NOT_PROVEN,24,RETURNS_NOT_INGESTED
EVT-HC-CHERRY-300,2026-04-23,2026-08-27,29,3,25,1,NOT_PROVEN,25,RETURNS_NOT_INGESTED
EVT-SET-SER-CREAM-ACNE,2026-03-30,2026-08-17,25,5,20,0,NOT_PROVEN,20,RETURNS_NOT_INGESTED
EVT-SET-HAND-CHERRY,2026-04-27,2026-08-26,15,1,14,0,NOT_PROVEN,14,RETURNS_NOT_INGESTED
EVT-HC-AMBER-300,2026-05-04,2026-09-03,15,0,13,2,NOT_PROVEN,13,RETURNS_NOT_INGESTED
EVT-SET-CHERRY-AMBER,2026-04-27,2026-08-20,14,2,12,0,NOT_PROVEN,12,RETURNS_NOT_INGESTED
EVT-SET-MOIST-TONIC-SERUM,2026-04-11,2026-09-02,13,1,8,4,NOT_PROVEN,8,RETURNS_NOT_INGESTED
EVT-SET-ACNE-POWDER-SERUM-CREAM,2026-04-05,2026-08-20,13,3,10,0,NOT_PROVEN,10,RETURNS_NOT_INGESTED
EVT-SET-HAND-AMBER,2026-04-24,2026-08-20,8,1,6,1,NOT_PROVEN,6,RETURNS_NOT_INGESTED
EVT-SET-SER-CREAM-MOIST,2026-04-02,2026-04-05,2,0,2,0,NOT_PROVEN,2,RETURNS_NOT_INGESTED
EVT-SET-ACNE-TONIC-SERUM,2026-08-19,2026-08-19,1,0,1,0,NOT_PROVEN,1,RETURNS_NOT_INGESTED
TOTAL,2025-04-26,2026-09-03,2261,262,1955,44,NOT_PROVEN,1955,RETURNS_NOT_INGESTED
