internal_sku,supplied_qty_completed,first_supply,last_supply,gross_ordered,cancelled,delivered,current_stock_available,residual,residual_note
EVT-HC-HAND-300,516,2025-04-18,2026-07-23,567,49,507,0,9,PARTIAL_NO_OPENING_STOCK
EVT-FS-MOIST-30,264,2025-04-18,2026-07-23,273,24,246,11,7,PARTIAL_NO_OPENING_STOCK
EVT-HC-BODY-300,228,2025-04-18,2025-11-25,239,24,215,0,13,PARTIAL_NO_OPENING_STOCK
EVT-FS-ACNE-30,224,2025-04-18,2026-07-23,254,35,214,0,10,PARTIAL_NO_OPENING_STOCK
EVT-SET-HAND-BODY,184,2025-04-18,2025-11-25,178,12,166,0,18,PARTIAL_NO_OPENING_STOCK
EVT-FC-ACNE-50,141,2025-10-18,2026-07-23,143,30,110,24,7,PARTIAL_NO_OPENING_STOCK
EVT-FC-MOIST-50,127,2025-10-18,2026-02-19,158,28,130,0,-3,NEGATIVE_RESIDUAL_SUPPLY_UNDERSTATED
EVT-EP-ENZYME-75,108,2026-02-19,2026-07-23,87,10,77,24,7,PARTIAL_NO_OPENING_STOCK
EVT-FT-MOIST-150,94,2026-02-19,2026-07-23,73,10,58,28,8,PARTIAL_NO_OPENING_STOCK
EVT-FT-ACNE-150,82,2026-02-19,2026-07-23,76,7,63,12,7,PARTIAL_NO_OPENING_STOCK
EVT-HC-CHERRY-300,44,2026-04-13,2026-07-23,29,3,25,16,3,PARTIAL_NO_OPENING_STOCK
EVT-SET-4PC-ACNE,42,2026-03-25,2026-07-23,45,9,34,6,2,PARTIAL_NO_OPENING_STOCK
EVT-SET-CHERRY-AMBER,35,2026-04-13,2026-07-23,14,2,12,21,2,PARTIAL_NO_OPENING_STOCK
EVT-HC-AMBER-300,33,2026-04-13,2026-07-23,15,0,13,16,4,PARTIAL_NO_OPENING_STOCK
EVT-SET-HAND-CHERRY,32,2026-04-13,2026-07-23,15,1,14,13,5,PARTIAL_NO_OPENING_STOCK
EVT-SET-HAND-AMBER,30,2026-04-13,2026-07-23,8,1,6,16,8,PARTIAL_NO_OPENING_STOCK
EVT-SET-TON-SER-CREAM-ACNE,29,2026-03-25,2026-07-23,33,8,24,7,-2,NEGATIVE_RESIDUAL_SUPPLY_UNDERSTATED
EVT-SET-SER-CREAM-ACNE,23,2026-03-25,2026-07-23,25,5,20,4,-1,NEGATIVE_RESIDUAL_SUPPLY_UNDERSTATED
EVT-SET-ACNE-POWDER-SERUM-CREAM,19,2026-03-25,2026-07-23,13,3,10,6,3,PARTIAL_NO_OPENING_STOCK
EVT-SET-MOIST-TONIC-SERUM,16,2026-03-25,2026-06-26,13,1,8,4,4,PARTIAL_NO_OPENING_STOCK
EVT-SET-ACNE-TONIC-SERUM,12,2026-06-26,2026-06-26,1,0,1,11,0,BALANCED
EVT-SET-SER-CREAM-MOIST,2,2026-03-25,2026-03-25,2,0,2,0,0,BALANCED
TOTAL,2285,2025-04-18,2026-07-23,2261,262,1955,219,111,INVENTORY_RECONCILIATION_PARTIAL
