batch,source_document,import_date,internal_sku,product,quantity,final_unit_cogs_rub,currency,goods_cost_included,logistics_included,customs_included,duty_included,broker_included,other_landed_included,calculation_method,source_reference,confidence
1,ДТ 10013160/270824/3261814,2024-08-27,EVT-HC-BODY-300,Крем для тела 300 мл,6000,208.05,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
1,ДТ 10013160/270824/3261814,2024-08-27,EVT-HC-HAND-300,Крем для рук 300 мл,6000,208.05,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
1,ДТ 10013160/270824/3261814,2024-08-27,EVT-SET-HAND-BODY,Набор руки+тело (импортный),4000,416.10,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
2,ДТ 10013160/250225/5083526,2025-02-25,EVT-HC-HAND-300,Крем для рук 300 мл,10200,231.38,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
3,ДТ 10013160/250225/5083193,2025-02-25,EVT-FS-ACNE-30,Сыворотка АКНЕ 30 мл,5000,168.00,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
3,ДТ 10013160/250225/5083193,2025-02-25,EVT-FS-MOIST-30,Сыворотка УВЛ 30 мл,4800,161.93,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
4,ДТ 10132160/280825/5101312,2025-08-28,EVT-FC-ACNE-50,Крем для лица АКНЕ 50 мл,4995,131.66,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
4,ДТ 10132160/280825/5101312,2025-08-28,EVT-FC-MOIST-50,Крем для лица УВЛ 50 мл,5017,130.78,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
5,ДТ 10132160/311225/5304850,2025-12-31,EVT-EP-ENZYME-75,Энзимная пудра 75 г,5000,155.97,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
5,ДТ 10132160/311225/5304850,2025-12-31,EVT-FT-MOIST-150,Тоник УВЛ 150 мл,5000,179.46,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
5,ДТ 10132160/311225/5304850,2025-12-31,EVT-FT-ACNE-150,Тоник АКНЕ 150 мл,5000,179.46,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
6,ДТ 10132160/190126/5020158,2026-01-19,EVT-FS-ACNE-30,Сыворотка АКНЕ 30 мл,6000,135.78,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
6,ДТ 10132160/190126/5020158,2026-01-19,EVT-FS-MOIST-30,Сыворотка УВЛ 30 мл,6000,130.81,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
7,ДТ 10132160/260326/5122067,2026-03-26,EVT-HC-CHERRY-300,Крем Lost Cherry 300 мл,4859,171.96,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
7,ДТ 10132160/260326/5122067,2026-03-26,EVT-HC-AMBER-300,Крем Amber Vanilla 300 мл,4970,171.96,RUB,YES,YES,YES,YES,YES,YES,LANDED_COST_INVOICE_PROPORTIONAL,ПРОВЕРКА_2026-09-01 §3,PROVEN
