internal_sku,product_type,ozon_sku,ozon_offer_id,wb_nm_id,in_channel_map,batch_coverage,earliest_batch,latest_batch,cost_versions_bq,current_effective_cogs_rub,doc_proven_cogs_rub,cogs_status
EVT-HC-HAND-300,PHYSICAL,1997079254,252442517,252442517,YES,"1,2 + TR-001",1,2,3,240,231.38,FULLY_PROVEN
EVT-HC-BODY-300,PHYSICAL,1997315236,252442341,252442341,NO_GAP,1 + TR-001,1,1,2,214.5,208.05,FULLY_PROVEN_BUT_UNMAPPED
EVT-FS-MOIST-30,PHYSICAL,1991772098,305101272,305101272,YES,"3,6",3,6,2,133,130.81,FULLY_PROVEN
EVT-FS-ACNE-30,PHYSICAL,1994674912,305101361,305101361,YES,"3,6",3,6,2,138,135.78,FULLY_PROVEN
EVT-FC-MOIST-50,PHYSICAL,2969806788,438775437,438775437,YES,4,4,4,1,145,130.78,FULLY_PROVEN_BQ_MATERIAL_DELTA
EVT-FC-ACNE-50,PHYSICAL,2974977988,438775617,438775617,YES,4,4,4,1,145,131.66,FULLY_PROVEN_BQ_MATERIAL_DELTA
EVT-EP-ENZYME-75,PHYSICAL,3543342130,535580776,535580776,YES,5,5,5,1,159,155.97,FULLY_PROVEN
EVT-FT-MOIST-150,PHYSICAL,3528293526,535581674,535581674,YES,5,5,5,1,182,179.46,FULLY_PROVEN
EVT-FT-ACNE-150,PHYSICAL,3530427102,535581675,535581675,YES,5,5,5,1,182,179.46,FULLY_PROVEN
EVT-HC-CHERRY-300,PHYSICAL,3892518031,593111986,593111986,YES,7,7,7,1,172,171.96,FULLY_PROVEN
EVT-HC-AMBER-300,PHYSICAL,3930712640,593111985,593111985,YES,7,7,7,1,172,171.96,FULLY_PROVEN
EVT-SET-HAND-BODY,BUNDLE,2046027307,252441968,252441968,NO_GAP,BOM_from_2025-05-01,,,1,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN_BUT_UNMAPPED
EVT-SET-4PC-ACNE,BUNDLE,3733452761,868597351,868597351,YES,BOM_4_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-ACNE-POWDER-SERUM-CREAM,BUNDLE,3733947454,909951444,909951444,YES,BOM_3_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-ACNE-TONIC-SERUM,BUNDLE,4843362212,1083392113,1083392113,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-CHERRY-AMBER,BUNDLE,3892223191,930334397,930334397,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-HAND-AMBER,BUNDLE,3892410843,930334396,930334396,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-HAND-CHERRY,BUNDLE,3892345516,930334395,930334395,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-MOIST-TONIC-SERUM,BUNDLE,3735183318,910330849,910330849,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-SER-CREAM-ACNE,BUNDLE,3732641694,567668635,567668635,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-SER-CREAM-MOIST,BUNDLE,3732933477,567668636,567668636,YES,BOM_2_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
EVT-SET-TON-SER-CREAM-ACNE,BUNDLE,3735674506,910584041,910584041,YES,BOM_3_components,,,0,BOM_DERIVED,BOM_DERIVED,BOM_PROVEN
