internal_sku,physical_batch_id,cost_batch_id,effective_from,old_cogs_rub,new_cogs_rub,delta_rub,delta_pct,old_source,new_source,status
EVT-FC-MOIST-50,PB-030,BATCH-04,2025-09-14,145,130.78,-14.22,-9.81,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,MATERIAL_CHANGE
EVT-FC-ACNE-50,PB-031,BATCH-04,2025-09-16,145,131.66,-13.34,-9.20,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,MATERIAL_CHANGE
EVT-SET-HAND-BODY,IS-004,BATCH-01,2024-09-10,429,416.10,-12.90,-3.01,OWNER_CONFIRMED,PROVEN_DOCUMENT,CHANGED
EVT-HC-BODY-300,PB-003,BATCH-01,2024-09-07,219,208.05,-10.95,-5.00,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-HC-HAND-300,PB-001,BATCH-01,2024-09-07,219,208.05,-10.95,-5.00,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-HC-HAND-300,PB-002,BATCH-02,2025-03-10,240,231.38,-8.62,-3.59,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-HC-BODY-300,TR-001,BATCH-01,2025-11-01,214.5,208.05,-6.45,-3.01,MEDIUM_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-HC-HAND-300,TR-001,BATCH-01,2025-01-26,214.5,208.05,-6.45,-3.01,MEDIUM_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-FS-MOIST-30,PB-020,BATCH-03,2025-03-05,165,161.93,-3.07,-1.86,CONFIRMED_SYSTEM_RECORD,PROVEN_DOCUMENT,CHANGED
EVT-EP-ENZYME-75,PB-050,BATCH-05,2026-01-09,159,155.97,-3.03,-1.91,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-FS-ACNE-30,PB-022,BATCH-03,2025-03-05,165,168.00,3.00,1.82,CONFIRMED_SYSTEM_RECORD,PROVEN_DOCUMENT,CHANGED_UPWARD
EVT-FT-MOIST-150,PB-040,BATCH-05,2026-01-08,182,179.46,-2.54,-1.40,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-FT-ACNE-150,PB-041,BATCH-05,2026-01-10,182,179.46,-2.54,-1.40,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-FS-ACNE-30,PB-023,BATCH-06,2026-08-01,138,135.78,-2.22,-1.61,MEDIUM_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-FS-MOIST-30,PB-021,BATCH-06,2026-03-01,133,130.81,-2.19,-1.65,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,CHANGED
EVT-HC-CHERRY-300,PB-010,BATCH-07,2026-04-10,172,171.96,-0.04,-0.02,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,MATCH
EVT-HC-AMBER-300,PB-011,BATCH-07,2026-04-10,172,171.96,-0.04,-0.02,STRONG_RECONSTRUCTION,PROVEN_DOCUMENT,MATCH
