ozon_sku,offer_id,internal_sku,observed_in_sources,mapping_status,is_current,valid_from,valid_to
1997079254,252442517,EVT-HC-HAND-300,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2025-04-03,
1991772098,305101272,EVT-FS-MOIST-30,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2025-04-01,
1994674912,305101361,EVT-FS-ACNE-30,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2025-04-02,
1997315236,252442341,EVT-HC-BODY-300,"ads_sku,postings,finance,supply_bundles",OZON_PRIMARY_DOCUMENT,FALSE,2025-04-18,2026-04-09
2046027307,252441968,EVT-SET-HAND-BODY,"ads_sku,postings,finance,supply_bundles",OZON_PRIMARY_DOCUMENT,FALSE,2025-04-18,2026-04-17
2969806788,438775437,EVT-FC-MOIST-50,"ads_sku,catalog,postings,finance,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2025-10-14,
2974977988,438775617,EVT-FC-ACNE-50,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2025-10-15,
3528293526,535581674,EVT-FT-MOIST-150,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-02-12,
3530427102,535581675,EVT-FT-ACNE-150,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-02-12,
3543342130,535580776,EVT-EP-ENZYME-75,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-02-19,
3732641694,567668635,EVT-SET-SER-CREAM-ACNE,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-03-24,
3732933477,567668636,EVT-SET-SER-CREAM-MOIST,"ads_sku,catalog,postings,finance,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-03-24,
3733452761,868597351,EVT-SET-4PC-ACNE,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-03-24,
3733947454,909951444,EVT-SET-ACNE-POWDER-SERUM-CREAM,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-03-24,
3735183318,910330849,EVT-SET-MOIST-TONIC-SERUM,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-03-24,
3735674506,910584041,EVT-SET-TON-SER-CREAM-ACNE,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-03-24,
3892223191,930334397,EVT-SET-CHERRY-AMBER,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-04-09,
3892345516,930334395,EVT-SET-HAND-CHERRY,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-04-09,
3892410843,930334396,EVT-SET-HAND-AMBER,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-04-09,
3892518031,593111986,EVT-HC-CHERRY-300,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-04-09,
3930712640,593111985,EVT-HC-AMBER-300,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-04-09,
4843362212,1083392113,EVT-SET-ACNE-TONIC-SERUM,"ads_sku,catalog,postings,finance,stocks,supply_bundles",RESOLVED_FROM_OZON_API,TRUE,2026-06-24,
