internal_sku,realized_qty,realized_qty_with_cogs,realized_qty_missing_cogs,coverage_pct,cost_method,batch_traceability,missing_reason
EVT-HC-HAND-300,507,507,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-FS-MOIST-30,246,246,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-HC-BODY-300,215,215,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-FS-ACNE-30,214,214,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-HAND-BODY,166,166,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-FC-MOIST-50,130,130,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-FC-ACNE-50,110,110,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-EP-ENZYME-75,77,77,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-FT-ACNE-150,63,63,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-FT-MOIST-150,58,58,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-4PC-ACNE,34,34,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-HC-CHERRY-300,25,25,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-TON-SER-CREAM-ACNE,24,24,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,RESOLVED_BOM_EXTENDED_TO_2026-03-24_PROVEN_SAME_BOM
EVT-SET-SER-CREAM-ACNE,20,20,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-HAND-CHERRY,14,13,1,92.86,EFFECTIVE_DATE,NOT_PROVEN,BOM_INTERVAL_STARTS_AFTER_SALE_EVIDENCE_PARTIAL_NAME_IDENTICAL_TO_AMBER_CARD
EVT-HC-AMBER-300,13,13,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-CHERRY-AMBER,12,12,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-ACNE-POWDER-SERUM-CREAM,10,10,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-MOIST-TONIC-SERUM,8,8,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,RESOLVED_BOM_EXTENDED_TO_2026-03-24_PROVEN_SAME_BOM
EVT-SET-HAND-AMBER,6,6,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-SER-CREAM-MOIST,2,2,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
EVT-SET-ACNE-TONIC-SERUM,1,1,0,100.00,EFFECTIVE_DATE,NOT_PROVEN,
TOTAL,1955,1954,1,99.95,EFFECTIVE_DATE,NOT_PROVEN,ONE_UNIT_UNRESOLVED_EVIDENCE_PARTIAL
