internal_sku,gross_ordered,cancelled,in_transit,realized,unmapped_qty
EVT-HC-HAND-300,567,49,11,507,0
EVT-FS-MOIST-30,273,24,3,246,0
EVT-FS-ACNE-30,254,35,5,214,0
EVT-HC-BODY-300,239,24,0,215,0
EVT-SET-HAND-BODY,178,12,0,166,0
EVT-FC-MOIST-50,158,28,0,130,0
EVT-FC-ACNE-50,143,30,3,110,0
EVT-EP-ENZYME-75,87,10,0,77,0
EVT-FT-ACNE-150,76,7,6,63,0
EVT-FT-MOIST-150,73,10,5,58,0
EVT-SET-4PC-ACNE,45,9,2,34,0
EVT-SET-TON-SER-CREAM-ACNE,33,8,1,24,0
EVT-HC-CHERRY-300,29,3,1,25,0
EVT-SET-SER-CREAM-ACNE,25,5,0,20,0
EVT-SET-HAND-CHERRY,15,1,0,14,0
EVT-HC-AMBER-300,15,0,2,13,0
EVT-SET-CHERRY-AMBER,14,2,0,12,0
EVT-SET-ACNE-POWDER-SERUM-CREAM,13,3,0,10,0
EVT-SET-MOIST-TONIC-SERUM,13,1,4,8,0
EVT-SET-HAND-AMBER,8,1,1,6,0
EVT-SET-SER-CREAM-MOIST,2,0,0,2,0
EVT-SET-ACNE-TONIC-SERUM,1,0,0,1,0
TOTAL,2261,262,44,1955,0
