cost_item,date,counterparty,amount_rub,payment_purpose,evidence,attribution_status,allocation_method,allocation_basis,included_in_15316321,confidence
CERTIFICATION,2024-05-29,"ООО АБСОЛЮТ СТАНДАРТ",6500,"Оплата по счету № 1849 от 21.05.2024 Консультационные услуги",bank export.csv acct 40802810600000012775,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED_PAYMENT_PURPOSE_UNCLEAR
CERTIFICATION,2024-09-18,"ООО АБСОЛЮТ СТАНДАРТ",15000,"Консультационные и сопроводительные услуги",bank export.csv acct 40802810600000012775,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED_PAYMENT_PURPOSE_UNCLEAR
CERTIFICATION,2024-12-27,"ООО СТЭП",5000,"Организация работ для получения ДС 353 ПП (косметика)",bank acct 40802810100005174928,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED_NOT_IN_168425
CERTIFICATION,2025-06-10,"ООО СТЭП",28000,"Организация работ для получения ДС ТР ТС (косметика)",bank acct 40802810325610001818,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED
CERTIFICATION,2025-07-04,"ООО СТЭП",5000,"Организация работ для получения ДС ТР ТС (косметика)",bank acct 40802810325610001818,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED
CERTIFICATION,2025-10-30,"ООО СТЭП",16500,"ДС ТР ТС (Средства ухода за кожей)",bank acct 40802810325610001818,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED
CERTIFICATION,2025-11-11,"ООО СТЭП",10000,"ДС 353 ПП (Средства ухода за кожей)",bank acct 40802810325610001818,GENERIC_NOT_ATTRIBUTABLE,NONE,,NO,DOCUMENTED
CERTIFICATION,2025-12-21,"ООО СТЭП",5000,"ДС ТР ТС (крем для тела) ТМ EVETIS",bank acct 40802810325610001818,AMBIGUOUS_WHICH_BODY_CREAM,NONE,,NO,DOCUMENTED_PRODUCT_AMBIGUOUS
CERTIFICATION,2026-04-22,"ООО СТЭП",49875,"ДС ТР ТС (энзимная пудра, увлажняющий тоник, тоник акне)",bank acct 40802810325610001818,PRODUCT_SPECIFIC,BATCH_QUANTITY,"BATCH-05: EVT-EP-ENZYME-75 + EVT-FT-MOIST-150 + EVT-FT-ACNE-150, 15000 ед",NO,DOCUMENTED_PRODUCTS_NAMED
CERTIFICATION,2026-05-28,"ООО СТЭП",32550,"ДС ТР ТС HAND & BODY CREAM Lost Cherry и Amber Vanilla",bank acct 40802810325610001818,PRODUCT_SPECIFIC,BATCH_QUANTITY,"BATCH-07: EVT-HC-CHERRY-300 + EVT-HC-AMBER-300, 9829 ед",NO,DOCUMENTED_PRODUCTS_NAMED
CERT_REGISTRATION_REFUND,2026-03-31,"УФК по г.Москве (ФАУ НИА)",-1000,"Возврат дс за рег. декларации соответствия, ПП №103 от 18.11.25",bank acct 40802810325610001818,REFUND_NET_ZERO,NONE,,NO,DOCUMENTED
MARKING_CHZ,2025-10-16,"ОПЕРАТОР-ЦРПТ ООО",7200,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2025-10-21,"ОПЕРАТОР-ЦРПТ ООО",9000,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2025-10-24,"ОПЕРАТОР-ЦРПТ ООО",360,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2025-10-27,"ОПЕРАТОР-ЦРПТ ООО",6120,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2026-01-26,"ОПЕРАТОР-ЦРПТ ООО",500,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2026-04-23,"ОПЕРАТОР-ЦРПТ ООО",500,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2026-07-08,"ОПЕРАТОР-ЦРПТ ООО",3000,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
MARKING_CHZ,2026-07-27,"ОПЕРАТОР-ЦРПТ ООО",500,"Предоплата за коды маркировки, л/с 2608486",bank acct 40802810325610001818,PREPAYMENT_NOT_CONSUMPTION,NONE,,NO,DOCUMENTED
STATION_REMOVAL,2025-03-19,"экспедитор",2566,"Сверхнормативное хранение на СВХ",bank acct 40802810100005174928,ALREADY_INCLUDED_BATCH_02,BATCH,BATCH-02,YES,DOCUMENTED
STATION_REMOVAL,batch-04,"экспедитор",23000,"Вывоз со станции",ПРОВЕРКА_2026-09-01 §2.4,ALREADY_INCLUDED_BATCH_04,BATCH,BATCH-04,YES,DOCUMENTED
STATION_REMOVAL,batches-1-3-5-6-7,,0,"вывоз со станции по остальным шести партиям",поиск по всем банковским выпискам,NOT_FOUND,NONE,,NO,NOT_FOUND_ESTIMATE_ONLY
