internal_sku,legal_import_cost_rub,additional_documented_allocation_rub,management_landed_cogs_rub,delta_rub,delta_pct,batch_id,allocation_basis,status
EVT-EP-ENZYME-75,155.97,3.325,159.295,3.325,2.13,BATCH-05,49875 / 15000 ед,APPLIED
EVT-FT-MOIST-150,179.46,3.325,182.785,3.325,1.85,BATCH-05,49875 / 15000 ед,APPLIED
EVT-FT-ACNE-150,179.46,3.325,182.785,3.325,1.85,BATCH-05,49875 / 15000 ед,APPLIED
EVT-HC-CHERRY-300,171.96,3.311629,175.271629,3.311629,1.93,BATCH-07,32550 / 9829 ед,APPLIED
EVT-HC-AMBER-300,171.96,3.311629,175.271629,3.311629,1.93,BATCH-07,32550 / 9829 ед,APPLIED
EVT-HC-HAND-300,231.38,0,231.38,0,0.00,,,UNCHANGED
EVT-HC-BODY-300,208.05,0,208.05,0,0.00,,,UNCHANGED
EVT-FS-MOIST-30,130.81,0,130.81,0,0.00,,,UNCHANGED
EVT-FS-ACNE-30,135.78,0,135.78,0,0.00,,,UNCHANGED
EVT-FC-MOIST-50,130.78,0,130.78,0,0.00,,,UNCHANGED
EVT-FC-ACNE-50,131.66,0,131.66,0,0.00,,,UNCHANGED
TOTAL_ALLOCATED_RUB,,82425.00,,,,"BATCH-05 49875 + BATCH-07 32550",,APPLIED
LEGAL_IMPORT_COST_TOTAL,15316321.13,,,,,,,UNCHANGED
MANAGEMENT_LANDED_COGS_TOTAL,,,15398746.13,,,,,APPLIED
WB_HISTORICAL_IMPACT,,,,5371.79,,1438 ед,,APPLIED
OZON_HISTORICAL_IMPACT,,,,1295.67,,344 ед,,APPLIED
