month,performance_campaign_spend,finance_t75_trafarety,finance_t41_cpc,finance_t33_ad_services,finance_t54_search_promo,finance_ad_subtotal,diff_perf_vs_finance,first_customer_review_t116,other_review_promo,canonical_ad_spend,double_count_prevented,reconciliation_status
2025-05,32346.56,20926.63,0.00,0.00,11419.93,32346.56,0.00,0.00,0.00,32346.56,32346.56,EXACT_MATCH
2025-06,22842.33,20544.75,0.00,0.00,2297.58,22842.33,0.00,0.00,0.00,22842.33,22842.33,EXACT_MATCH
2025-07,20909.39,19371.78,0.00,0.00,1537.61,20909.39,0.00,0.00,0.00,20909.39,20909.39,EXACT_MATCH
2025-08,21141.10,14464.71,0.00,1445.26,5231.13,21141.10,0.00,0.00,0.00,21141.10,21141.10,EXACT_MATCH
2025-09,30249.31,0.00,30039.61,0.00,209.70,30249.31,0.00,0.00,0.00,30249.31,30249.31,EXACT_MATCH
2025-10,22624.26,0.00,19123.70,0.00,3500.56,22624.26,0.00,0.00,1152.00,23776.26,22624.26,EXACT_MATCH
2025-11,35968.24,0.00,21956.11,0.00,14012.13,35968.24,0.00,0.00,0.00,35968.24,35968.24,EXACT_MATCH
2025-12,25700.29,0.00,18952.30,0.00,6747.99,25700.29,0.00,0.00,0.00,25700.29,25700.29,EXACT_MATCH
2026-01,21573.63,0.00,21333.93,0.00,239.70,21573.63,0.00,0.00,0.00,21573.63,21573.63,EXACT_MATCH
2026-02,32253.64,0.00,32253.64,0.00,0.00,32253.64,0.00,0.00,0.00,32253.64,32253.64,EXACT_MATCH
2026-03,47289.32,0.00,47169.82,0.00,119.50,47289.32,0.00,0.00,4904.40,52193.72,47289.32,EXACT_MATCH
2026-04,49778.55,0.00,49691.20,0.00,87.35,49778.55,0.00,0.00,728.25,50506.80,49778.55,EXACT_MATCH
2026-05,26039.77,0.00,26039.77,0.00,0.00,26039.77,0.00,0.00,1301.94,27341.71,26039.77,EXACT_MATCH
2026-06,11695.66,0.00,10656.66,0.00,1039.00,11695.66,0.00,0.00,0.00,11695.66,11695.66,EXACT_MATCH
2026-07,30802.01,0.00,30802.01,0.00,0.00,30802.01,0.00,512.40,0.00,31314.41,30802.01,EXACT_MATCH
2026-08,43110.63,0.00,42872.23,0.00,238.40,43110.63,0.00,9350.08,0.00,52460.71,43110.63,EXACT_MATCH
2026-09,2366.03,0.00,2366.03,0.00,0.00,2366.03,0.00,0.00,0.00,2366.03,2366.03,EXACT_MATCH
TOTAL,476690.72,75307.87,353257.01,1445.26,46680.58,476690.72,0.00,9862.48,8086.59,494639.79,476690.72,EXACT_MATCH_ALL_17_MONTHS
