internal_sku,product_name,product_type,realized_qty,economics_mode,economics_window_days,window_start,window_end,price_basis,commission_basis,marketplace_cost_basis,advertising_basis,cogs_basis,forward_pricing_ready,trailing_avg_seller_base_price_rub,trailing_avg_management_cogs_unit_rub,trailing_avg_commission_unit_rub,trailing_effective_commission_pct,trailing_avg_variable_mp_cost_unit_rub,trailing_ad_cost_per_realized_unit_rub,trailing_l1_unit_contribution_rub,trailing_actual_drr_pct,trailing_variable_break_even_drr_pct,full_marketplace_break_even_drr_pct,trailing_basis_break_even_price_rub,trailing_basis_indicative_price_margin_10pct,trailing_basis_indicative_price_margin_15pct,trailing_basis_indicative_price_margin_20pct,trailing_basis_indicative_price_margin_25pct,trailing_max_ad_spend_per_unit_rub,trailing_profitability_status,data_confidence,usage_note
EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,126,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,795.94,231.38,319.19,40.1,110.84,130.05,134.53,16.3386,16.9024,NULL_NOT_ALLOCATABLE,571.34,685.84,762.21,857.73,980.62,134.53,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-EP-ENZYME-75,"EVETIS Enzyme Cleansing Powder 75 g",SINGLE,74,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,966.44,159.3,391.16,40.47,111.19,297.56,304.79,30.789,31.5378,NULL_NOT_ALLOCATABLE,454.4,546.15,607.48,684.32,783.43,304.79,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-FC-ACNE-50,"EVETIS Anti-Acne Face Cream 50 ml",SINGLE,67,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,954.37,131.66,382.45,40.07,102.98,189.61,337.28,19.8673,35.3402,NULL_NOT_ALLOCATABLE,391.55,469.98,522.29,587.69,671.82,337.28,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-FT-ACNE-150,"EVETIS Anti-Acne Face Tonic 150 ml",SINGLE,63,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,955.98,182.79,385.19,40.29,95.74,376.31,292.27,39.3634,30.573,NULL_NOT_ALLOCATABLE,466.48,560.32,622.98,701.43,802.48,292.27,PROFITABLE_BEFORE_ADS_ONLY,KNOWN_GAP,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-FT-MOIST-150,"EVETIS Moisture Face Tonic 150 ml",SINGLE,57,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,977.58,182.79,393.71,40.27,105.31,426.88,295.77,43.6668,30.2556,NULL_NOT_ALLOCATABLE,482.36,579.37,644.14,725.21,829.63,295.77,PROFITABLE_BEFORE_ADS_ONLY,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,56,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,1017.29,130.81,412.11,40.51,94.53,358.75,379.84,35.2655,37.3387,NULL_NOT_ALLOCATABLE,378.79,455.33,506.5,570.63,653.35,379.84,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,56,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,967.61,157.64,396.48,40.98,103.18,263.05,310.31,27.186,32.0695,NULL_NOT_ALLOCATABLE,441.88,532.02,592.44,668.35,766.56,310.31,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-SET-4PC-ACNE,"EVETIS Набор anti-acne полный комплекс (4 средства)",BUNDLE,34,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,2968.26,633.21,1225.42,41.28,154.56,566.14,955.07,19.073,32.1762,NULL_NOT_ALLOCATABLE,1341.67,1617.07,1802.02,2034.75,2336.5,955.07,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,26,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,737.31,208.05,293.2,39.77,77.56,66.1,158.5,8.9644,21.4973,NULL_NOT_ALLOCATABLE,474.17,568.56,631.4,709.87,810.61,158.5,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
EVT-HC-CHERRY-300,"EVETIS Body Cream Lost Cherry 300 ml",SINGLE,25,TRAILING_OBSERVED,180,2026-03-01,2026-09-04,TRAILING_OBSERVED_REALIZED_AVG,TRAILING_OBSERVED_EFFECTIVE_RATE,TRAILING_OBSERVED_DIRECT_ACTUAL,TRAILING_OBSERVED_ATTRIBUTED_ACTUAL,PROVEN_DOCUMENT_EFFECTIVE_DATE,false,1042.24,175.27,427.32,41,100.26,298.71,339.39,28.6608,32.5638,NULL_NOT_ALLOCATABLE,467,562.3,626.2,706.48,810.38,339.39,PROFITABLE_AFTER_ADS,COMPLETE,ANALYTICAL_ONLY_NO_PRICE_WRITES
