internal_sku,current_seller_base_price_rub,unit_management_cogs_rub,unit_direct_variable_mp_cost_rub,unit_commission_rub,contribution_per_unit_rub,break_even_seller_base_price_rub,max_ad_per_realized_unit_rub,variable_break_even_drr_pct,target_price_margin_10pct,target_price_margin_15pct,target_price_margin_20pct,target_price_margin_25pct,basis
EVT-HC-HAND-300,717.77,231.38,84.20,254.58,147.61,570.16,147.61,20.57,633.51,670.78,712.70,760.21,"lifetime средние: выручка/реализовано"
EVT-FS-MOIST-30,782.25,130.81,75.42,254.10,321.92,460.33,321.92,41.15,511.48,541.56,575.41,613.77,lifetime
EVT-SET-HAND-BODY,1157.71,439.43,84.22,375.45,258.61,899.10,258.61,22.34,999.00,1057.76,1123.88,1198.80,lifetime
EVT-FS-ACNE-30,768.34,135.78,80.42,269.35,282.79,485.55,282.79,36.81,539.50,571.24,606.94,647.40,lifetime
EVT-HC-BODY-300,622.67,208.05,72.67,187.86,154.09,468.58,154.09,24.75,520.64,551.27,585.73,624.77,lifetime
EVT-FC-MOIST-50,956.96,130.78,94.82,359.37,371.99,584.97,371.99,38.87,649.97,688.20,731.21,779.96,lifetime
EVT-FC-ACNE-50,949.77,131.66,106.88,369.65,341.58,608.19,341.58,35.96,675.77,715.52,760.24,810.92,lifetime
EVT-EP-ENZYME-75,959.62,159.30,110.74,382.66,306.92,652.70,306.92,31.98,725.22,767.88,815.87,870.27,lifetime
EVT-FT-ACNE-150,955.98,182.79,95.74,385.19,292.26,663.72,292.26,30.57,737.47,780.85,829.65,884.96,lifetime
EVT-FT-MOIST-150,991.41,182.79,104.52,392.20,311.90,679.51,311.90,31.46,755.01,799.42,849.39,906.01,lifetime
EVT-HC-CHERRY-300,1042.24,175.27,100.26,427.32,339.39,702.85,339.39,32.56,780.94,826.88,878.56,937.13,lifetime
EVT-HC-AMBER-300,1023.23,175.27,91.40,428.49,328.07,695.16,328.07,32.06,772.40,817.84,868.95,926.88,lifetime
