type_id,type_name,accrued_category,first_date,last_date,row_count,signed_amount_rub,absolute_amount_rub,category,pnl_treatment,confidence
41,Оплата за клик,NON_ITEM,2025-09-01,2026-09-02,1507,-353257.01,353257.01,PROMOTION,ADVERTISING_reconciliation_only,HIGH
75,Трафареты,NON_ITEM,2025-05-05,2025-08-31,316,-75307.87,75307.87,PROMOTION,ADVERTISING_reconciliation_only,HIGH
54,Продвижение товара,NON_ITEM,2025-05-11,2026-08-20,196,-46680.58,46680.58,PROMOTION,ADVERTISING_reconciliation_only,HIGH
33,Рекламные услуги,NON_ITEM,2025-08-03,2025-08-04,2,-1445.26,1445.26,PROMOTION,ADVERTISING_reconciliation_only,HIGH
116,Сбор первых отзывов,ITEM,2026-07-27,2026-08-31,12,-9862.48,9862.48,PROMOTION,ADVERTISING_canonical,HIGH
47,Баллы за отзывы,NON_ITEM,2025-10-17,2026-03-25,15,-6056.40,6056.40,PROMOTION,ADVERTISING_canonical,HIGH
96,Ускоренный сбор отзывов,NON_ITEM,2026-04-06,2026-05-16,4,-1464.00,1464.00,PROMOTION,ADVERTISING_canonical,HIGH
74,Звёздные товары,ITEM,2026-05-12,2026-05-24,23,-413.19,413.19,PROMOTION,ADVERTISING_canonical,HIGH
48,Бонусы продавца,ITEM,2026-04-10,2026-05-16,49,-153.00,153.00,PROMOTION,ADVERTISING_canonical,HIGH
52,Подписка Premium,NON_ITEM,2025-06-11,2026-05-11,12,-109880.00,109880.00,SUBSCRIPTION,MARKETPLACE_FIXED_COST_store_level,HIGH
32,Логистика,POSTING,2025-04-30,2026-09-03,2153,-132963.79,135982.79,LOGISTICS,COST,HIGH
12,Кросс-докинг,NON_ITEM,2025-04-22,2026-08-22,72,-13721.60,13721.60,LOGISTICS,COST,HIGH
29,Доставка до места выдачи,POSTING,2025-06-01,2026-09-03,1752,-11328.41,11328.41,LAST_MILE,COST,HIGH
28,Последняя миля,POSTING,2025-04-30,2025-05-31,96,-2355.18,2355.18,LAST_MILE,COST,HIGH
98,Доставка до места выдачи силами Ozon,POSTING,2026-04-10,2026-09-02,62,-1550.00,1550.00,LAST_MILE,COST,HIGH
30,Выдача товара,POSTING,2025-06-01,2025-06-12,15,-350.19,350.19,LAST_MILE,COST,HIGH
46,Размещение товаров на складах Ozon,NON_ITEM,2025-09-01,2026-08-31,203,-2968.07,2968.07,STORAGE,COST,HIGH
79,Временное размещение товара партнерами,ITEM,2026-07-20,2026-08-16,3,-432.00,432.00,STORAGE,COST,HIGH
1,Эквайринг,ITEM,2025-04-26,2026-09-03,1990,-12749.42,13731.06,ACQUIRING,COST,HIGH
59,Обратная логистика,POSTING,2025-06-03,2026-08-30,195,-10534.32,10534.32,RETURN_LOGISTICS,COST,HIGH
45,"Обработка возвратов, отмен и невыкупов партнёрами",POSTING,2025-06-16,2026-08-22,59,-885.00,885.00,RETURN_LOGISTICS,COST,HIGH
78,Краткосрочное размещение возврата FBS,ITEM,2025-09-09,2025-09-09,1,-24.00,24.00,RETURN_LOGISTICS,COST,HIGH
9,Обработка возвратов,POSTING,2025-06-16,2026-02-10,9,0.00,0.00,RETURN_LOGISTICS,COST_zero_amount,HIGH
6,Обработка отменённых и невостребованных товаров,POSTING,2025-06-03,2026-04-15,130,0.00,0.00,CANCELLATION_COST,COST_zero_amount,HIGH
77,Обработка товара,NON_ITEM,2025-05-09,2026-08-29,76,-8020.00,8020.00,OTHER_MARKETPLACE_COST,COST,HIGH
76,Страхование товара от массовых повреждений,NON_ITEM,2026-03-11,2026-09-03,138,-2552.44,2552.44,OTHER_MARKETPLACE_COST,COST,HIGH
15,Утилизация,ITEM,2025-06-28,2026-08-05,9,-675.00,675.00,OTHER_MARKETPLACE_COST,COST,HIGH
71,Вывоз товара со склада силами Ozon,ITEM,2025-10-22,2026-08-16,6,-185.60,185.60,OTHER_MARKETPLACE_COST,COST,HIGH
39,Упаковка товара партнёрами,ITEM,2026-03-05,2026-09-02,10,-100.00,100.00,OTHER_MARKETPLACE_COST,COST,HIGH
38,Обеспечение материалами для упаковки товара,ITEM,2026-03-05,2026-09-02,10,-50.00,50.00,OTHER_MARKETPLACE_COST,COST,HIGH
57,Корректировка стоимости услуг,NON_ITEM,2025-10-30,2025-10-30,2,0.00,12792.78,OTHER_MARKETPLACE_COST,COST_net_zero_two_offsetting_rows,HIGH
25,Товарная компенсация,NON_ITEM,2026-07-31,2026-07-31,2,996.13,996.13,COMPENSATION,INCOME,HIGH
10,Компенсация,NON_ITEM,2026-04-09,2026-04-09,1,-250.00,250.00,COMPENSATION,COST,HIGH
TOTAL,33 типов,,2025-04-22,2026-09-03,9130,-805218.68,,ALL_CLASSIFIED,UNCLASSIFIED=0,
