layer,line_item,amount_rub,pct_of_seller_base,formula_or_source,status
INPUT,SELLER_BASE_REVENUE,1772029.00,100.00,"finance seller_price x qty (1920 ед) + posting.price_rub (35 восстановленных ед)",CANONICAL
MEMO,buyer_paid_revenue,773893.51,43.67,finance sale_price — НЕ выручка продавца,MEMO_ONLY
MEMO,ozon_bonus,953530.66,53.81,субсидия площадки,MEMO_ONLY
MEMO,ozon_coinvestment,13699.83,0.77,софинансирование площадки,MEMO_ONLY
L1,PRODUCT_COGS,-439499.85,-24.80,evetis_ref MANAGEMENT_LANDED_COGS effective-date,CANONICAL
L1,COMMISSION,-644594.00,-36.38,"finance commission_rub (1920) + отчёты о реализации (29 из 35)",KNOWN_GAP_6_POSTINGS
L1,DIRECT_VARIABLE_MARKETPLACE_COSTS,-173172.31,-9.77,"типы 32,29,28,98,30,1,59,45,78,9,79 — все несут sku",CANONICAL
L1,=GROSS_SELLER_CONTRIBUTION,514762.84,29.05,"REV - COGS - COMMISSION - DIRECT_VARIABLE",CANONICAL
L2,STORE_LEVEL_VARIABLE_COSTS,-16689.67,-0.94,"тип 12 кросс-докинг 13721.60 + тип 46 размещение 2968.07",CANONICAL
L2,OTHER_MARKETPLACE_COSTS_EX_ADS,-11583.04,-0.65,"типы 77,76,15,71,39,38,57",CANONICAL
L2,=CONTRIBUTION_BEFORE_ADS,486490.13,27.45,"GROSS - STORE_LEVEL_VARIABLE - OTHER_EX_ADS",CANONICAL
L3,ADVERTISING,-494639.79,-27.91,"Performance campaign 476690.72 + типы отзывов 17949.07",CANONICAL
L3,=CONTRIBUTION_AFTER_ADS_BEFORE_FIXED,-8149.66,-0.46,"CONTRIBUTION_BEFORE_ADS - ADVERTISING",CANONICAL
L4,MARKETPLACE_FIXED_COSTS,-109880.00,-6.20,тип 52 Подписка Premium,CANONICAL
L4,COMPENSATIONS,746.13,0.04,"типы 25,10",CANONICAL
L4,=MARKETPLACE_CONTRIBUTION_PROFIT,-117283.53,-6.62,"L3 - FIXED + COMPENSATIONS",CANONICAL_KNOWN_CONTRIBUTION
UNCERTAINTY,commission_missing_lower_bound,-1335.06,-0.08,"7417.00 x 0.18 (минимальная наблюдаемая ставка)",BOUND_NOT_ESTIMATE
UNCERTAINTY,commission_missing_upper_bound,-3856.84,-0.22,"7417.00 x 0.52 (максимальная наблюдаемая ставка)",BOUND_NOT_ESTIMATE
UNCERTAINTY,true_contribution_range_low,-121140.37,-6.84,"CANONICAL_KNOWN - 3856.84",RANGE
UNCERTAINTY,true_contribution_range_high,-118618.59,-6.69,"CANONICAL_KNOWN - 1335.06",RANGE
DRR,actual_drr_pct,27.9138,,"ADVERTISING / SELLER_BASE_REVENUE",CANONICAL
DRR,variable_break_even_drr_pct,27.4538,,"CONTRIBUTION_BEFORE_ADS / SELLER_BASE_REVENUE",CANONICAL
DRR,full_marketplace_break_even_drr_pct,21.2952,,"(CONTRIBUTION_BEFORE_ADS - FIXED + COMPENSATIONS) / SELLER_BASE_REVENUE",CANONICAL
