posting_number,ozon_sku,internal_sku,quantity,order_date,posting_price_rub,finance_rows_same_sku,finance_types,economic_block_present,realization_report_found,report_price,report_commission_pct,report_payout,recovered_seller_base,recovered_commission,recovery_status
84981214-0073-1,1997079254,EVT-HC-HAND-300,1,2025-05-16,488,1,32,NO,NO,,,,488.00,,SELLER_BASE_RECONSTRUCTED_COMMISSION_NOT_RECOVERED
0180844433-0032-1,1997079254,EVT-HC-HAND-300,1,2025-08-29,730,1,32,NO,YES,730.00,30.5,507.35,730.00,222.65,RECONSTRUCTED_PROVEN
0174671740-0036-1,1997079254,EVT-HC-HAND-300,1,2025-09-07,678,1,32,NO,YES,678.00,,,678.00,recovered,RECONSTRUCTED_PROVEN
57794512-0006-2,1991772098,EVT-FS-MOIST-30,1,2025-10-20,800,1,32,NO,YES,800.00,33.0,536.00,800.00,264.00,RECONSTRUCTED_PROVEN
69799830-0276-1,1997079254,EVT-HC-HAND-300,1,2025-11-02,620,1,32,NO,YES,620.00,,,620.00,recovered,RECONSTRUCTED_PROVEN
98041754-0004-1,1997079254,EVT-HC-HAND-300,1,2025-11-13,880,1,32,NO,YES,880.00,42.0,510.40,880.00,369.60,RECONSTRUCTED_PROVEN
92234251-0008-1,1997079254,EVT-HC-HAND-300,1,2025-11-17,607,1,32,NO,YES,607.00,,,607.00,recovered,RECONSTRUCTED_PROVEN
52826697-0003-15,1997079254,EVT-HC-HAND-300,1,2025-11-25,607,1,32,NO,YES,607.00,,,607.00,recovered,RECONSTRUCTED_PROVEN
0231520423-0001-2,1997079254,EVT-HC-HAND-300,1,2025-11-25,607,1,32,NO,YES,607.00,,,607.00,recovered,RECONSTRUCTED_PROVEN
0143652501-0071-1,2969806788,EVT-FC-MOIST-50,1,2025-12-05,1020,1,32,NO,YES,1020.00,42.0,591.60,1020.00,428.40,RECONSTRUCTED_PROVEN
0107987069-0115-1,2969806788,EVT-FC-MOIST-50,1,2025-12-07,1020,1,32,NO,YES,1020.00,,,1020.00,recovered,RECONSTRUCTED_PROVEN
0148296041-0008-1,1991772098,EVT-FS-MOIST-30,1,2025-12-09,825,1,32,NO,YES,825.00,42.0,478.50,825.00,346.50,RECONSTRUCTED_PROVEN
0107987069-0116-1,1991772098,EVT-FS-MOIST-30,1,2025-12-10,825,1,32,NO,YES,825.00,,,825.00,recovered,RECONSTRUCTED_PROVEN
98041754-0006-1,1997079254,EVT-HC-HAND-300,1,2025-12-20,820,1,32,NO,YES,820.00,,,820.00,recovered,RECONSTRUCTED_PROVEN
90831504-0160-1,2969806788,EVT-FC-MOIST-50,1,2026-01-28,840,1,32,NO,YES,840.00,42.0,487.20,840.00,352.80,RECONSTRUCTED_PROVEN
0140207342-0283-1,2974977988,EVT-FC-ACNE-50,1,2026-02-02,1063,1,32,NO,YES,1063.00,,,1063.00,recovered,RECONSTRUCTED_PROVEN
90312383-0011-1,1997079254,EVT-HC-HAND-300,1,2026-02-04,918,1,32,NO,YES,918.00,,,918.00,recovered,RECONSTRUCTED_PROVEN
0201540221-0097-1,1994674912,EVT-FS-ACNE-30,1,2026-02-07,814,1,32,NO,YES,814.00,,,814.00,recovered,RECONSTRUCTED_PROVEN
99543424-0109-1,1997079254,EVT-HC-HAND-300,1,2026-02-09,834,1,32,NO,YES,834.00,,,834.00,recovered,RECONSTRUCTED_PROVEN
0198758548-0051-1,1997079254,EVT-HC-HAND-300,1,2026-02-12,910,1,32,NO,YES,910.00,,,910.00,recovered,RECONSTRUCTED_PROVEN
