month,gross_qty,cancelled_qty,in_transit_qty,realized_qty,seller_base_revenue,buyer_paid_revenue,ozon_bonus,ozon_coinvestment,rev_uncovered_qty,product_cogs,cogs_missing_qty,commission,logistics,last_mile,storage,acquiring,return_costs,cancellation_costs,advertising,subscription,other_marketplace_costs,compensations,marketplace_contribution_profit
2025-04,1,0,0,1,760.00,660.00,100.00,0.00,0,161.93,0,136.80,543.00,36.10,0.00,4.22,0.00,0.00,0.00,0.00,0.00,0.00,-122.05
2025-05,116,4,0,112,67930.00,47447.28,20205.47,277.25,1,23636.57,0,12227.40,4194.84,2319.08,0.00,707.86,0.00,0.00,32346.56,0.00,212.00,0.00,-7714.31
2025-06,106,10,0,96,67943.00,42965.93,24769.71,207.36,0,21952.58,0,17249.45,4600.00,814.00,0.00,571.38,288.00,0.00,22842.33,4990.00,75.00,0.00,-5439.74
2025-07,90,6,0,84,56305.00,32925.84,23191.40,187.76,0,21311.40,0,15483.98,7407.70,408.42,0.00,539.74,221.00,0.00,20909.39,4990.00,0.00,0.00,-14966.63
2025-08,150,9,0,141,94368.00,57590.53,36429.96,347.51,1,34712.44,0,25951.38,7345.00,501.44,0.00,901.78,331.00,0.00,21141.10,9990.00,112.00,0.00,-6618.14
2025-09,119,12,0,107,80259.00,44431.74,35555.98,271.28,1,26173.30,0,22453.41,6006.00,444.83,146.79,787.69,680.00,0.00,30249.31,9990.00,0.00,0.00,-16672.33
2025-10,102,12,0,90,69902.00,37108.09,32492.22,301.69,1,20473.99,0,21443.68,5552.30,384.92,168.14,579.55,557.00,0.00,23776.26,9990.00,1094.60,0.00,-14118.44
2025-11,247,26,0,221,159089.00,64610.74,93930.77,547.49,5,50936.84,0,60560.41,16932.97,916.48,329.21,1062.86,1106.00,0.00,35968.24,9990.00,680.00,0.00,-19394.01
2025-12,129,13,0,116,109661.00,41979.54,67350.27,331.19,5,25644.80,0,42767.79,9824.21,721.46,1179.69,716.51,425.54,0.00,25700.29,9990.00,331.00,0.00,-7640.29
2026-01,107,13,0,94,86853.00,38218.10,48343.47,291.43,1,18737.55,0,33872.67,4366.16,485.11,594.84,531.95,572.93,0.00,21573.63,9990.00,80.00,0.00,-3951.84
2026-02,210,35,0,175,155258.00,59761.17,93813.09,1683.74,7,30781.49,0,60550.62,11924.69,1032.55,154.72,938.82,1371.36,0.00,32253.64,9990.00,875.00,0.00,5385.11
2026-03,230,35,0,195,168869.00,61002.50,104681.28,3185.22,6,36108.63,0,65858.91,19917.05,1270.69,14.21,1114.95,1027.17,0.00,52193.72,9990.00,1200.68,0.00,-19827.01
2026-04,185,25,0,160,183462.00,66680.78,114004.84,2776.38,3,37609.50,1,74441.18,14218.15,1532.42,0.00,1094.32,1706.32,0.00,50506.80,9990.00,1775.52,-250.00,-9662.21
2026-05,106,19,0,87,93801.00,37504.16,54632.01,1664.83,0,19546.60,0,38458.41,7732.00,1191.83,0.00,665.88,1058.00,0.00,27341.71,9990.00,573.03,0.00,-12756.46
2026-06,55,14,0,41,48966.00,22002.56,26811.31,152.13,1,13197.14,0,20076.06,4497.00,637.57,5.82,328.17,1002.00,0.00,11695.66,0.00,349.71,0.00,-2823.13
2026-07,89,7,0,82,115674.00,46957.61,67880.11,836.28,1,22281.30,0,47426.34,7829.60,881.25,87.96,778.61,320.00,0.00,31314.41,0.00,2222.00,996.13,3528.66
2026-08,202,22,27,153,182024.00,72046.94,109338.77,638.29,2,36233.79,0,75997.91,13049.72,1879.58,718.69,1331.23,777.00,0.00,52460.71,0.00,1841.16,0.00,-2265.79
2026-09,17,0,17,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,745.00,126.05,0.00,93.90,0.00,0.00,2366.03,0.00,161.34,0.00,-3492.32
TOTAL,2261,262,44,1955,1741124.00,773893.51,953530.66,13699.83,35,439499.85,1,634956.40,146685.39,15583.78,3400.07,12749.42,11443.32,0.00,494639.79,109880.00,11583.04,746.13,-138550.93
