internal_sku,gross_qty,realized_qty,seller_base_revenue,product_cogs,commission,direct_variable_marketplace_costs,gross_seller_contribution,margin_gross_pct,ad_spend_attributed,contribution_after_attributed_ads,margin_after_ads_pct,actual_drr_pct,variable_break_even_drr_pct,break_even_ad_spend,cogs_missing_qty,commission_missing_revenue,attribution_level,status
EVT-HC-HAND-300,567,507,374274.17,117309.66,133124.38,42688.24,81151.89,21.68,69240.21,11911.68,3.18,18.50,21.68,81151.89,0,488.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-FS-MOIST-30,273,246,194883.00,38092.06,63514.31,18552.57,74724.06,38.34,73254.82,1469.24,0.75,37.59,38.34,74724.06,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-SET-HAND-BODY,178,166,189830.00,72945.38,62324.04,13981.43,40579.15,21.38,12110.90,28468.25,15.00,6.38,21.38,40579.15,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-FS-ACNE-30,254,214,164424.00,35372.04,58243.02,17210.21,53598.73,32.60,49098.17,4500.56,2.74,29.86,32.60,53598.73,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-HC-BODY-300,239,215,133874.00,44730.75,41263.85,15623.25,32256.15,24.09,48444.73,-16188.58,-12.09,36.19,24.09,32256.15,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_BEFORE_ADS_ONLY
EVT-FC-MOIST-50,158,130,124505.00,17001.40,48624.32,12326.83,46552.45,37.39,19292.41,27260.04,21.89,15.50,37.39,46552.45,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-FC-ACNE-50,143,110,104475.00,14482.60,41445.12,11756.88,36790.40,35.21,28444.64,8345.76,7.99,27.23,35.21,36790.40,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-SET-4PC-ACNE,45,34,100921.00,21529.18,41664.23,5255.09,32472.50,32.18,19248.70,13223.80,13.10,19.07,32.18,32472.50,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-EP-ENZYME-75,87,77,73940.34,12265.72,29861.77,8526.99,23285.86,31.49,22284.30,1001.56,1.35,30.14,31.49,23285.86,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-FT-ACNE-150,76,63,60226.66,11515.46,24266.66,6031.45,18413.09,30.57,23758.85,-5345.76,-8.88,39.45,30.57,18413.09,0,1000.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_BEFORE_ADS_ONLY
EVT-FT-MOIST-150,73,58,56502.00,10601.53,22745.68,6062.28,17092.51,30.25,24394.05,-7301.54,-12.92,43.17,30.25,17092.51,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_BEFORE_ADS_ONLY
EVT-SET-TON-SER-CREAM-ACNE,33,24,49864.83,11288.70,20832.62,2913.13,14830.38,29.74,11599.65,3230.73,6.48,23.26,29.74,14830.38,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-SET-SER-CREAM-ACNE,25,20,28101.00,5864.32,11446.37,2556.85,8233.46,29.30,5343.33,2890.13,10.28,19.01,29.30,8233.46,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-HC-CHERRY-300,29,25,26056.00,4381.79,10682.96,2506.44,8484.81,32.56,7467.87,1016.94,3.90,28.66,32.56,8484.81,0,0.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
EVT-SET-ACNE-POWDER-SERUM-CREAM,13,10,19166.00,4557.33,6930.10,1550.07,6128.50,31.98,9638.54,-3510.04,-18.31,50.29,31.98,6128.50,0,2162.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_BEFORE_ADS_ONLY
EVT-SET-HAND-CHERRY,15,14,18115.00,5286.47,6508.34,1799.33,4520.86,24.96,1365.14,3155.72,17.42,7.54,24.96,4520.86,1,2241.00,ACTUAL_DIRECT+ACTUAL_LINKED,COGS_INCOMPLETE
EVT-SET-CHERRY-AMBER,14,12,16214.00,4206.52,6022.08,1572.69,4412.71,27.22,2680.93,1731.78,10.68,16.53,27.22,4412.71,0,1526.00,ACTUAL_DIRECT+ACTUAL_LINKED,PROFITABLE_AFTER_ADS
