month,internal_sku,product_name,product_type,gross_qty,realized_qty,seller_base_revenue_rub,product_cogs_rub,cogs_status,commission_rub,commission_status,direct_variable_marketplace_costs_rub,other_direct_marketplace_costs_rub,contribution_before_ads_rub,ad_spend_attributed_rub,contribution_after_attributed_ads_rub,margin_before_ads_pct,margin_after_ads_pct,actual_drr_pct,variable_break_even_drr_pct,profitability_status,attribution_level
2025-04-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,1,1,760,161.93,COVERED,136.8,COVERED,83.32,0,377.95,0,377.95,49.7303,49.7303,0,49.7303,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-05-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,16,15,10442,2520,COVERED,1879.56,COVERED,1163.33,0,4879.11,518.39,4360.72,46.7258,41.7613,4.9645,46.7258,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-05-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,27,26,18877,4210.18,COVERED,3397.86,COVERED,2078.01,0,9190.95,13444.28,-4253.33,48.6886,-22.5318,71.2204,48.6886,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-05-01,EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,34,33,16944,6865.65,COVERED,3049.92,COVERED,2390.13,0,4638.3,10797.71,-6159.41,27.3743,-36.3516,63.7259,27.3743,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-05-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,33,32,16504,7404.16,COVERED,2882.88,MISSING_SOURCE,2280.83,0,3936.13,6678.21,-2742.08,23.8496,-16.6146,40.4642,23.8496,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-05-01,EVT-SET-HAND-BODY,"EVETIS Набор крем для рук + крем для тела",BUNDLE,6,6,5651,2636.58,COVERED,1017.18,COVERED,612.77,0,1384.47,551.72,832.75,24.4996,14.7363,9.7632,24.4996,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-06-01,EVT-FS-ACNE-30,"EVETIS Anti-Acne Face Serum 30 ml",SINGLE,14,12,8464,2016,COVERED,2195.57,COVERED,725.94,0,3526.49,0,3526.49,41.6646,41.6646,0,41.6646,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-06-01,EVT-FS-MOIST-30,"EVETIS Deep Moisture Face Serum 30 ml",SINGLE,33,30,23169,4857.9,COVERED,5881.2,COVERED,1741.34,0,10688.56,12290.94,-1602.38,46.133,-6.9161,53.0491,46.133,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-06-01,EVT-HC-BODY-300,"EVETIS Body Cream Oud Wood 300 ml",SINGLE,26,23,12220,4785.15,COVERED,3129.63,COVERED,1416.2,0,2889.02,6582.08,-3693.06,23.6417,-30.2214,53.8632,23.6417,PROFITABLE_BEFORE_ADS_ONLY,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
2025-06-01,EVT-HC-HAND-300,"EVETIS Advanced Repair Hand Cream Oud Wood 300 ml",SINGLE,18,16,9019,3702.08,COVERED,2228.73,COVERED,824.37,75,2188.82,396.2,1792.62,24.269,19.876,4.3929,24.269,PROFITABLE_AFTER_ADS,DIRECT_POSTING+DIRECT_SKU+ACTUAL_AD_ATTRIBUTION
