kiz,gtin,product,parent_sets,parent_statuses,unit_status,shipped_to_wb
"0104619689656000215""vHCX",04619689656000,Сыворотка АКНЕ,0104619689656222215W7Fue,INTRODUCED,INTRODUCED,no
0104619689656000215%RCZq,04619689656000,Сыворотка АКНЕ,0104619689656093215Xq->W,INTRODUCED,INTRODUCED,no
0104619689656000215%gDe2,04619689656000,Сыворотка АКНЕ,0104619689656178215XsVAQ,RETIRED,RETIRED,no
0104619689656000215%gnGL,04619689656000,Сыворотка АКНЕ,0104619689656161215eTHDY,INTRODUCED,INTRODUCED,no
0104619689656000215&8LFO,04619689656000,Сыворотка АКНЕ,0104619689656093215RjJ)E,INTRODUCED,INTRODUCED,no
0104619689656000215&eBBt,04619689656000,Сыворотка АКНЕ,"0104619689656161215PBL<,",INTRODUCED,INTRODUCED,no
0104619689656000215&hKTa,04619689656000,Сыворотка АКНЕ,0104619689656161215w=*Tj,INTRODUCED,INTRODUCED,no
0104619689656000215'FPDY,04619689656000,Сыворотка АКНЕ,0104619689656093215ddA4Q,INTRODUCED,INTRODUCED,no
0104619689656000215(1RDO,04619689656000,Сыворотка АКНЕ,0104619689656192215-N;nk,INTRODUCED,INTRODUCED,no
0104619689656000215(6NGZ,04619689656000,Сыворотка АКНЕ,0104619689656192215ePgkU,INTRODUCED,INTRODUCED,no
"0104619689656000215(Y8,y",04619689656000,Сыворотка АКНЕ,0104619689656192215p<9bN,INTRODUCED,INTRODUCED,no
0104619689656000215(d)wd,04619689656000,Сыворотка АКНЕ,01046196896560932159j2xU,INTRODUCED,INTRODUCED,no
0104619689656000215)sDqc,04619689656000,Сыворотка АКНЕ,0104619689656093215gGFDy,INTRODUCED,INTRODUCED,no
"0104619689656000215+l""dH",04619689656000,Сыворотка АКНЕ,01046196896560932155A.Ux,RETIRED,RETIRED,no
"0104619689656000215,4Qe>",04619689656000,Сыворотка АКНЕ,0104619689656222215yjbR&,INTRODUCED,INTRODUCED,no
0104619689656000215-CqbX,04619689656000,Сыворотка АКНЕ,0104619689656161215Uk:XP,INTRODUCED,INTRODUCED,no
0104619689656000215.A9ZR,04619689656000,Сыворотка АКНЕ,0104619689656178215e!2oH,INTRODUCED,INTRODUCED,no
